Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,Ernst Lubitsch,https://www.personality-database.com/profile/11392/ernst-lubitsch-film-tv-crew-mbti-personality-type,,,2,,,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,/images/profile_transparent.png,Eskil Vogt,https://www.personality-database.com/profile/11526/eskil-vogt-film-tv-crew-mbti-personality-type,,,,,,,,,,1,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,F.W. Murnau,https://www.personality-database.com/profile/11370/fw-murnau-film-tv-crew-mbti-personality-type,,,,,,,,,,,5,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,92%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/3096.png,Federico Fellini,https://www.personality-database.com/profile/3096/federico-fellini-film-tv-crew-mbti-personality-type,,,1,12,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/45360.png,Florian Henckel von Donnersmarck,https://www.personality-database.com/profile/45360/florian-henckel-von-donnersmarck-film-tv-crew-mbti-personality-type,,1,,,,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,/images/profile_transparent.png,François Ozon,https://www.personality-database.com/profile/11515/franois-ozon-film-tv-crew-mbti-personality-type,,,,,,,,,,2,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,75%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/11397.png,François Truffaut,https://www.personality-database.com/profile/11397/franois-truffaut-film-tv-crew-mbti-personality-type,,,,,,,,,1,3,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,Frank Borzage,https://www.personality-database.com/profile/11378/frank-borzage-film-tv-crew-mbti-personality-type,1,,,,,,,,,,,,,,,
Te,Si,,,75%,Ne,,,50%,0%,,,50%,0%,,Fi,50%,/images/profile_transparent.png,Frank Capra,https://www.personality-database.com/profile/11466/frank-capra-film-tv-crew-mbti-personality-type,,1,,,,,,,,1,,,,,2,
Ne,Fi,,,100%,Se,,100%,50%,50%,,,0%,0%,,Fi,50%,https://api.personality-database.com/profile_images/16931.png,Frank Darabont,https://www.personality-database.com/profile/16931/frank-darabont-film-tv-crew-mbti-personality-type,,,,,,,,,,3,3,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,Frank Tashlin,https://www.personality-database.com/profile/11443/frank-tashlin-film-tv-crew-mbti-personality-type,,,,,,,,1,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,Fred Zinnemann,https://www.personality-database.com/profile/11467/fred-zinnemann-film-tv-crew-mbti-personality-type,,,,,,,,,,,,,,,1,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,Frederick Wiseman,https://www.personality-database.com/profile/11512/frederick-wiseman-film-tv-crew-mbti-personality-type,1,,,,,,,,,,,,,,,
Ni,Te,67%,,,Fi,83%,100%,17%,83%,,,0%,0%,83%,Se,,/images/profile_transparent.png,Fritz Lang,https://www.personality-database.com/profile/11375/fritz-lang-film-tv-crew-mbti-personality-type,,,3,1,,,,,1,,1,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/4110.png,Gareth Edwards,https://www.personality-database.com/profile/4110/gareth-edwards-film-tv-crew-mbti-personality-type,,,,,,,,,,6,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,Gaspar Noé,https://www.personality-database.com/profile/48420/gaspar-no-film-tv-crew-mbti-personality-type,,,,,,,,,,,,1,,,,
