Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/50262.png,Celso Pitta,https://www.personality-database.com/profile/50262/celso-pitta-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,,,1,
Ti,Ne,100%,,,Si,,,0%,46%,75%,54%,25%,29%,100%,Fe,,https://api.personality-database.com/profile_images/15143.png,Ciro Gomes,https://www.personality-database.com/profile/15143/ciro-gomes-governmentlatin-america-mbti-personality-type,,,,11,,,6,7,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,Claudia López Hernández,https://www.personality-database.com/profile/20968/claudia-lpez-hernndez-governmentlatin-america-mbti-personality-type,,,,,,,1,,,,,,,,,
Fe,Ni,,,,Fi,100%,100%,50%,50%,,,0%,0%,,Se,50%,https://api.personality-database.com/profile_images/48669.png,Clodovil Hernandes,https://www.personality-database.com/profile/48669/clodovil-hernandes-governmentlatin-america-mbti-personality-type,,,1,,,,,,1,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/48589.png,Conte Lopes,https://www.personality-database.com/profile/48589/conte-lopes-governmentlatin-america-mbti-personality-type,,,,,,,,1,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/50251.png,Coronel Erasmo Dias,https://www.personality-database.com/profile/50251/coronel-erasmo-dias-governmentlatin-america-mbti-personality-type,,,1,,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/48568.png,Coronel Telhada,https://www.personality-database.com/profile/48568/coronel-telhada-governmentlatin-america-mbti-personality-type,,,1,,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,Cristina Fernández de Kirchner,https://www.personality-database.com/profile/41236/cristina-fernndez-de-kirchner-governmentlatin-america-mbti-personality-type,,,,,2,,,,,,,,,,,
Si,Fe,86%,100%,,Ti,86%,,29%,0%,,71%,57%,14%,,Ne,,https://api.personality-database.com/profile_images/41730.png,Damares Alves,https://www.personality-database.com/profile/41730/damares-alves-governmentlatin-america-mbti-personality-type,1,,,,4,1,,,1,,,,,,,
Te,Fe,,,64%,Ti,89%,,0%,29%,,71%,61%,11%,57%,Fi,,https://api.personality-database.com/profile_images/17821.png,Dilma Rousseff,https://www.personality-database.com/profile/17821/dilma-rousseff-governmentlatin-america-mbti-personality-type,,,,,9,1,,,,,8,,,2,8,
