Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/11040.png,Albert Finney,https://www.personality-database.com/profile/11040/albert-finney-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Si,,,70%,Ne,90%,,20%,10%,,70%,70%,0%,70%,Fi,,https://api.personality-database.com/profile_images/33469.png,Alec Guinness,https://www.personality-database.com/profile/33469/alec-guinness-people-of-classic-hollywood-mbti-personality-type,1,,,1,1,,,,1,,,,,,6,
Si,Te,86%,,,Fi,86%,,0%,14%,,86%,86%,0%,100%,Ne,,https://api.personality-database.com/profile_images/22637.png,Angela Lansbury,https://www.personality-database.com/profile/22637/angela-lansbury-people-of-classic-hollywood-mbti-personality-type,,,,1,,,5,,,,,,,,1,
Ne,Fi,,92%,92%,Te,,100%,92%,8%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/10562.png,Anthony Perkins,https://www.personality-database.com/profile/10562/anthony-perkins-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,12,,,,,,
Ne,Fi,,99%,99%,Te,,78%,78%,0%,94%,,3%,19%,,Si,,https://api.personality-database.com/profile_images/1049.png,Audrey Hepburn,https://www.personality-database.com/profile/1049/audrey-hepburn-people-of-classic-hollywood-mbti-personality-type,1,,,,,,,,2,72,,,2,18,1,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/50525.png,Ava Gardner,https://www.personality-database.com/profile/50525/ava-gardner-people-of-classic-hollywood-mbti-personality-type,,,2,,,,,,,,,,,,,
Se,Fi,,100%,100%,Te,,,14%,0%,100%,86%,0%,86%,,Ni,,/images/profile_transparent.png,Bela Lugosi,https://www.personality-database.com/profile/40335/bela-lugosi-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,1,,,,6,,
Si,Te,100%,,,Fi,95%,,0%,5%,,95%,95%,0%,100%,Ne,,https://api.personality-database.com/profile_images/11964.png,Bette Davis,https://www.personality-database.com/profile/11964/bette-davis-people-of-classic-hollywood-mbti-personality-type,,,,1,,,18,,,,,,,,,
Fi,Se,100%,57%,,Fi,,,14%,0%,57%,86%,43%,43%,,Te,,https://api.personality-database.com/profile_images/20435.png,Bob Hope,https://www.personality-database.com/profile/20435/bob-hope-people-of-classic-hollywood-mbti-personality-type,,1,,,,3,3,,,,,,,,,
Fe,Ni,,,100%,Ne,100%,,0%,50%,,,50%,0%,,Fi,50%,https://api.personality-database.com/profile_images/42514.png,Boris Karloff,https://www.personality-database.com/profile/42514/boris-karloff-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,1,,1,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,Bud Abbott,https://www.personality-database.com/profile/43125/bud-abbott-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,,1,
Ti,Ne,76%,,,Si,,76%,0%,76%,100%,,0%,24%,100%,Fe,,https://api.personality-database.com/profile_images/11410.png,Buster Keaton,https://www.personality-database.com/profile/11410/buster-keaton-people-of-classic-hollywood-mbti-personality-type,,,,13,,,,,,,,,,,,4
Se,Fi,,86%,57%,Te,,,29%,14%,79%,57%,0%,57%,,Ni,,https://api.personality-database.com/profile_images/9672.png,Cary Grant,https://www.personality-database.com/profile/9672/cary-grant-people-of-classic-hollywood-mbti-personality-type,2,2,1,1,,,,,,,,,,8,,
Ne,Fi,,,,Si,,100%,50%,50%,100%,,0%,0%,,Fe,50%,https://api.personality-database.com/profile_images/11432.png,Charles Laughton,https://www.personality-database.com/profile/11432/charles-laughton-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,1,,,,,,
Fi,Ne,81%,94%,,Si,,100%,94%,6%,94%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/11407.png,Charlie Chaplin,https://www.personality-database.com/profile/11407/charlie-chaplin-people-of-classic-hollywood-mbti-personality-type,,27,,2,,,,,2,5,,,,,,
Te,Ni,,,86%,Se,71%,100%,29%,71%,,,0%,0%,71%,Fi,,https://api.personality-database.com/profile_images/11658.png,Charlotte Rampling,https://www.personality-database.com/profile/11658/charlotte-rampling-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,2,,3,1,,,,
Te,Si,,,100%,Ne,100%,,0%,9%,,91%,91%,0%,100%,Fi,,https://api.personality-database.com/profile_images/1025.png,Christopher Lee,https://www.personality-database.com/profile/1025/christopher-lee-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,2,,,,20,
Fe,Ni,,71%,100%,Se,100%,86%,71%,14%,,,14%,0%,,Ti,,https://api.personality-database.com/profile_images/35136.png,Christopher Plummer,https://www.personality-database.com/profile/35136/christopher-plummer-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,5,,1,,,,1,
Fi,Ne,85%,85%,,Si,,100%,85%,15%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/13919.png,Clark Gable,https://www.personality-database.com/profile/13919/clark-gable-people-of-classic-hollywood-mbti-personality-type,,9,,2,,,,,,2,,,,,,
