Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Se,Ti,,,97%,Fe,,,0%,0%,92%,100%,8%,92%,98%,Ni,,https://api.personality-database.com/profile_images/1039.png,Clint Eastwood,https://www.personality-database.com/profile/1039/clint-eastwood-people-of-classic-hollywood-mbti-personality-type,,,,,,,,2,,,,,1,,4,54
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/34081.png,David Hemmings,https://www.personality-database.com/profile/34081/david-hemmings-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,1,,
Si,Te,100%,,,Fi,75%,,0%,25%,,75%,75%,0%,88%,Ne,,https://api.personality-database.com/profile_images/15886.png,Dean Martin,https://www.personality-database.com/profile/15886/dean-martin-people-of-classic-hollywood-mbti-personality-type,,,,2,1,,5,,,,,,,,,
Ni,Ne,100%,,,Si,,100%,40%,60%,,,0%,0%,60%,Fe,50%,https://api.personality-database.com/profile_images/15275.png,Diana Rigg,https://www.personality-database.com/profile/15275/diana-rigg-actresses-british-isles-mbti-personality-type,4,,1,5,,,,,,,,,,,,
Si,Te,100%,,,Fi,89%,,0%,11%,,89%,89%,0%,89%,Ne,,https://api.personality-database.com/profile_images/11966.png,Dick Van Dyke,https://www.personality-database.com/profile/11966/dick-van-dyke-people-of-classic-hollywood-mbti-personality-type,,,,1,1,,7,,,,,,,,,
Fi,Ne,90%,100%,,Si,,90%,90%,0%,100%,,0%,10%,,Te,,https://api.personality-database.com/profile_images/35054.png,Doris Day,https://www.personality-database.com/profile/35054/doris-day-people-of-classic-hollywood-mbti-personality-type,,9,,,,,,,,,,,,1,,
Fi,Se,100%,67%,,Ni,,,0%,17%,83%,83%,17%,67%,,Te,,https://api.personality-database.com/profile_images/23187.png,Edie Sedgwick,https://www.personality-database.com/profile/23187/edie-sedgwick-people-of-classic-hollywood-mbti-personality-type,,,,1,,4,1,,,,,,,,,
Ti,Se,75%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,Errol Flynn,https://www.personality-database.com/profile/41107/errol-flynn-people-of-classic-hollywood-mbti-personality-type,,,,,,,,3,,,,,,,,1
Ni,Fe,100%,,,Si,,100%,50%,50%,,,0%,0%,,Fe,50%,https://api.personality-database.com/profile_images/32121.png,Eva Marie Saint,https://www.personality-database.com/profile/32121/eva-marie-saint-people-of-classic-hollywood-mbti-personality-type,1,,,1,,,,,,,,,,,,
Si,Fe,100%,83%,,Ti,83%,,0%,17%,,83%,83%,0%,,Ne,,https://api.personality-database.com/profile_images/20850.png,Faye Dunaway,https://www.personality-database.com/profile/20850/faye-dunaway-people-of-classic-hollywood-mbti-personality-type,,,,1,5,,,,,,,,,,,
Si,Te,80%,,,Fi,60%,,20%,0%,,80%,60%,20%,80%,Ne,,https://api.personality-database.com/profile_images/22777.png,Fred Astaire,https://www.personality-database.com/profile/22777/fred-astaire-people-of-classic-hollywood-mbti-personality-type,,,,,,,3,1,,1,,,,,,
Ne,Fi,,100%,97%,Te,,92%,92%,0%,84%,,8%,0%,,Si,,https://api.personality-database.com/profile_images/16253.png,"Fred Rogers ""Mr. Rogers""",https://www.personality-database.com/profile/16253/fred-rogers-mr-rogers-people-of-classic-hollywood-mbti-personality-type,1,,,,,,,,2,32,,,3,,,
Fi,Ne,96%,83%,,Si,,92%,75%,17%,96%,,4%,4%,,Te,,https://api.personality-database.com/profile_images/3773.png,Gene Wilder,https://www.personality-database.com/profile/3773/gene-wilder-people-of-classic-hollywood-mbti-personality-type,,17,,4,1,1,,,,1,,,,,,
Si,Fe,93%,100%,,Ti,100%,,13%,0%,,87%,87%,0%,,Ne,,https://api.personality-database.com/profile_images/20194.png,"Grace Kelly, Princess of Monaco",https://www.personality-database.com/profile/20194/grace-kelly-princess-of-monaco-people-of-classic-hollywood-mbti-personality-type,1,,,,13,,,,1,,,,,,,
Ne,Ti,,,91%,Fe,,100%,9%,91%,91%,,0%,0%,91%,Si,,https://api.personality-database.com/profile_images/23467.png,Gregory Peck,https://www.personality-database.com/profile/23467/gregory-peck-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,1,,,9,,,,
Se,Ti,,,86%,Fe,,,14%,14%,100%,71%,0%,71%,86%,Ni,,https://api.personality-database.com/profile_images/29247.png,Greta Garbo,https://www.personality-database.com/profile/29247/greta-garbo-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,1,,,,,,5
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,Groucho Marx,https://www.personality-database.com/profile/43130/groucho-marx-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,1,,,,,
Fi,Ne,100%,,,Si,,75%,25%,50%,100%,,0%,25%,,Fe,50%,https://api.personality-database.com/profile_images/33025.png,Harold Lloyd,https://www.personality-database.com/profile/33025/harold-lloyd-people-of-classic-hollywood-mbti-personality-type,,1,,2,,1,,,,,,,,,,
Se,Fi,,86%,86%,Te,,,0%,14%,100%,86%,0%,86%,,Ni,,/images/profile_transparent.png,Henry Fonda,https://www.personality-database.com/profile/28897/henry-fonda-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,,,,,6,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,Henry Winkler,https://www.personality-database.com/profile/22606/henry-winkler-people-of-classic-hollywood-mbti-personality-type,,,,4,,,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/42518.png,Humphrey Bogart,https://www.personality-database.com/profile/42518/humphrey-bogart-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,,,4
Fe,Ni,,100%,100%,Se,75%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/35904.png,Ingrid Bergman,https://www.personality-database.com/profile/35904/ingrid-bergman-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,6,2,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,Jack Palance,https://www.personality-database.com/profile/22581/jack-palance-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,,2,
Fe,Ne,,,,Se,,100%,50%,50%,,,0%,0%,,Fe,50%,/images/profile_transparent.png,Jacqueline Bisset,https://www.personality-database.com/profile/20855/jacqueline-bisset-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,1,,,,,,,
Ti,Se,100%,,,Ni,,,0%,30%,100%,70%,0%,70%,100%,Fe,,https://api.personality-database.com/profile_images/33453.png,James Caan,https://www.personality-database.com/profile/33453/james-caan-people-of-classic-hollywood-mbti-personality-type,,,,3,,,,7,,,,,,,,
Se,Fi,,77%,91%,Te,,,14%,5%,91%,82%,0%,82%,,Ni,,https://api.personality-database.com/profile_images/17765.png,James Dean,https://www.personality-database.com/profile/17765/james-dean-people-of-classic-hollywood-mbti-personality-type,,,,,,,,2,1,2,1,,,14,,2
Fe,Si,,95%,90%,Ne,95%,,20%,0%,,80%,75%,5%,,Ti,,https://api.personality-database.com/profile_images/1883.png,James Stewart,https://www.personality-database.com/profile/1883/james-stewart-people-of-classic-hollywood-mbti-personality-type,1,,,,,,1,,3,,,,14,1,,
Ni,Te,100%,,,Fi,87%,53%,40%,13%,,,40%,7%,60%,Se,,https://api.personality-database.com/profile_images/20677.png,Jane Fonda,https://www.personality-database.com/profile/20677/jane-fonda-people-of-classic-hollywood-mbti-personality-type,5,1,2,,,,6,1,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/48124.png,Jean Harlow,https://www.personality-database.com/profile/48124/jean-harlow-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,1,,,,,,,
Fi,Se,100%,100%,,Ni,,,13%,0%,100%,88%,0%,88%,,Te,,https://api.personality-database.com/profile_images/11424.png,Jerry Lewis,https://www.personality-database.com/profile/11424/jerry-lewis-people-of-classic-hollywood-mbti-personality-type,,1,,,,7,,,,,,,,,,
Se,Ti,,,77%,Fe,,,0%,0%,92%,100%,8%,92%,100%,Ni,,https://api.personality-database.com/profile_images/9673.png,John Wayne,https://www.personality-database.com/profile/9673/john-wayne-people-of-classic-hollywood-mbti-personality-type,,,,,,,1,2,,,,,,,,10
Fe,Si,,93%,87%,Ne,53%,,0%,7%,,93%,53%,40%,,Ti,,https://api.personality-database.com/profile_images/20085.png,Judy Garland,https://www.personality-database.com/profile/20085/judy-garland-people-of-classic-hollywood-mbti-personality-type,,,,1,,1,,,,,,,8,5,,
Fe,Ni,,92%,62%,Se,77%,77%,77%,0%,,,23%,0%,,Ti,,https://api.personality-database.com/profile_images/20269.png,Julie Andrews,https://www.personality-database.com/profile/20269/julie-andrews-people-of-classic-hollywood-mbti-personality-type,,3,,,2,,,,7,,,,,,1,
Ni,Te,93%,,,Fi,81%,96%,11%,85%,,,0%,4%,89%,Se,,https://api.personality-database.com/profile_images/36831.png,Katharine Hepburn,https://www.personality-database.com/profile/36831/katharine-hepburn-people-of-classic-hollywood-mbti-personality-type,,1,22,1,,,,1,,2,,,,,,
Se,Fi,,83%,83%,Te,,,0%,17%,100%,83%,0%,83%,,Ni,,https://api.personality-database.com/profile_images/21914.png,Kim Novak,https://www.personality-database.com/profile/21914/kim-novak-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,,,,,5,,
Ni,Te,100%,,,Fi,83%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/13920.png,Kirk Douglas,https://www.personality-database.com/profile/13920/kirk-douglas-people-of-classic-hollywood-mbti-personality-type,,,10,2,,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/50526.png,Lana Turner,https://www.personality-database.com/profile/50526/lana-turner-people-of-classic-hollywood-mbti-personality-type,,,,,,1,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,88%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/9674.png,Lauren Bacall,https://www.personality-database.com/profile/9674/lauren-bacall-people-of-classic-hollywood-mbti-personality-type,,,1,7,,,,,,,,,,,,
Ne,Ti,,,92%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/11759.png,Leonard Nimoy,https://www.personality-database.com/profile/11759/leonard-nimoy-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,,,11,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Lillian Gish,https://www.personality-database.com/profile/43804/lillian-gish-people-of-classic-hollywood-mbti-personality-type,,1,,,,,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/42515.png,Lon Cheney,https://www.personality-database.com/profile/42515/lon-cheney-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,,,1
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,Lou Costello,https://www.personality-database.com/profile/43126/lou-costello-people-of-classic-hollywood-mbti-personality-type,,,,,,1,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,17%,83%,83%,0%,83%,100%,Fe,,https://api.personality-database.com/profile_images/29860.png,Lucille Ball,https://www.personality-database.com/profile/29860/lucille-ball-people-of-classic-hollywood-mbti-personality-type,,,1,,,,,5,,,,,,,,
Se,Fi,,100%,78%,Te,,,6%,0%,98%,94%,1%,93%,,Ni,,https://api.personality-database.com/profile_images/1051.png,Marilyn Monroe,https://www.personality-database.com/profile/1051/marilyn-monroe-people-of-classic-hollywood-mbti-personality-type,,2,,,,17,,,1,2,,,1,64,,
Ti,Se,100%,,,Ni,,,0%,33%,100%,67%,0%,67%,100%,Fe,,https://api.personality-database.com/profile_images/29246.png,Marlene Dietrich,https://www.personality-database.com/profile/29246/marlene-dietrich-people-of-classic-hollywood-mbti-personality-type,,,,2,,,,4,,,,,,,,
Ne,Fi,,88%,88%,Te,,91%,84%,6%,94%,,0%,9%,,Si,,https://api.personality-database.com/profile_images/6459.png,Marlon Brando,https://www.personality-database.com/profile/6459/marlon-brando-people-of-classic-hollywood-mbti-personality-type,,2,,2,,,,,2,23,,,,1,,2
Fe,Si,,86%,81%,Ne,86%,,0%,10%,,90%,86%,5%,,Ti,,https://api.personality-database.com/profile_images/3195.png,Michael Caine,https://www.personality-database.com/profile/3195/michael-caine-people-of-classic-hollywood-mbti-personality-type,,,,2,,1,1,,,,,,17,,,
Ne,Fi,,75%,,Si,,100%,75%,25%,100%,,0%,0%,,Si,50%,https://api.personality-database.com/profile_images/35432.png,Natalie Wood,https://www.personality-database.com/profile/35432/natalie-wood-people-of-classic-hollywood-mbti-personality-type,,1,,1,,,,,,2,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/34343.png,Olivia Hussey,https://www.personality-database.com/profile/34343/olivia-hussey-people-of-classic-hollywood-mbti-personality-type,,,,2,,,,,,,,,,,,
Ne,Ne,,,67%,Fe,,100%,0%,100%,67%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/34326.png,Patrick McGoohan,https://www.personality-database.com/profile/34326/patrick-mcgoohan-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,,,1,1,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,Peter Falk,https://www.personality-database.com/profile/22582/peter-falk-people-of-classic-hollywood-mbti-personality-type,,,,,,,,1,,,,,,,,
Ti,Ne,83%,,,Si,,100%,0%,100%,83%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/20678.png,Peter Fonda,https://www.personality-database.com/profile/20678/peter-fonda-people-of-classic-hollywood-mbti-personality-type,,,,5,,,,,,,1,,,,,
Ti,Se,80%,,,Ni,,,20%,0%,100%,80%,0%,80%,80%,Fe,,https://api.personality-database.com/profile_images/27907.png,Peter O'Toole,https://www.personality-database.com/profile/27907/peter-otoole-people-of-classic-hollywood-mbti-personality-type,,,,,,,,4,,1,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/27746.png,Richard Harris,https://www.personality-database.com/profile/27746/richard-harris-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,3,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,Rip Torn,https://www.personality-database.com/profile/42126/rip-torn-people-of-classic-hollywood-mbti-personality-type,,,,,,,,1,,,,,,,,
Ne,Fi,,100%,100%,Te,,83%,83%,0%,100%,,0%,17%,,Si,,https://api.personality-database.com/profile_images/37414.png,Rita Hayworth,https://www.personality-database.com/profile/37414/rita-hayworth-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,5,,,,1,,
Ni,Te,83%,,,Fi,92%,83%,17%,67%,,,17%,0%,83%,Se,,https://api.personality-database.com/profile_images/12332.png,Robert Redford,https://www.personality-database.com/profile/12332/robert-redford-people-of-classic-hollywood-mbti-personality-type,1,1,8,,,,,,,,,,,,2,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/29383.png,Robert Shaw,https://www.personality-database.com/profile/29383/robert-shaw-people-of-classic-hollywood-mbti-personality-type,,,,,,,,2,,,,,,,,
Te,Si,,,100%,Ne,94%,,0%,0%,,100%,94%,6%,100%,Fi,,https://api.personality-database.com/profile_images/653.png,Sean Connery,https://www.personality-database.com/profile/653/sean-connery-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,,,,,,17,1
Si,Fe,91%,73%,,Ti,82%,,9%,9%,,82%,73%,9%,,Ne,,https://api.personality-database.com/profile_images/20087.png,Shirley Temple,https://www.personality-database.com/profile/20087/shirley-temple-people-of-classic-hollywood-mbti-personality-type,,,,1,7,,1,1,1,,,,,,,
Ni,Fe,70%,90%,,Ti,70%,60%,60%,0%,,,10%,30%,,Se,,https://api.personality-database.com/profile_images/35120.png,Sophia Loren,https://www.personality-database.com/profile/35120/sophia-loren-people-of-classic-hollywood-mbti-personality-type,6,,,,,1,,,,,,,,2,1,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,Tippi Hedren,https://www.personality-database.com/profile/22631/tippi-hedren-people-of-classic-hollywood-mbti-personality-type,,,,,,2,,,,,,,,,,
Te,Ni,,,100%,Se,67%,100%,33%,67%,,,0%,0%,67%,Fi,,https://api.personality-database.com/profile_images/12243.png,Warren Beatty,https://www.personality-database.com/profile/12243/warren-beatty-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,,1,2,,,,,
Ti,Se,100%,,,Ni,,,0%,7%,100%,93%,0%,93%,100%,Fe,,https://api.personality-database.com/profile_images/433.png,William Shatner,https://www.personality-database.com/profile/433/william-shatner-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,13,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,88%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/23948.png,Aaron Eckhart,https://www.personality-database.com/profile/23948/aaron-eckhart-actors-usa-mbti-personality-type,1,7,,,,,,,,,,,,,,
Fi,Se,95%,86%,,Ni,,,27%,0%,100%,73%,0%,73%,,Te,,https://api.personality-database.com/profile_images/27169.png,Aaron Paul,https://www.personality-database.com/profile/27169/aaron-paul-actors-usa-mbti-personality-type,,5,,,,13,,3,,1,,,,,,
Ne,Fi,,88%,100%,Te,,90%,80%,10%,100%,,0%,10%,,Si,,https://api.personality-database.com/profile_images/9260.png,Adam Driver,https://www.personality-database.com/profile/9260/adam-driver-actors-usa-mbti-personality-type,,,,,,,,,,32,,4,,3,,1
Se,Fi,,89%,61%,Te,,,14%,1%,82%,84%,5%,79%,,Ni,,https://api.personality-database.com/profile_images/8841.png,Adam Sandler,https://www.personality-database.com/profile/8841/adam-sandler-actors-usa-mbti-personality-type,,1,,,,23,,6,9,1,1,,3,31,1,
Fe,Ni,,88%,93%,Se,88%,97%,88%,8%,,,0%,3%,,Ti,,https://api.personality-database.com/profile_images/1755.png,Al Pacino,https://www.personality-database.com/profile/1755/al-pacino-actors-usa-mbti-personality-type,,,,4,,,,,52,1,1,,,,,2
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/4843.png,Alan Thicke,https://www.personality-database.com/profile/4843/alan-thicke-actors-usa-mbti-personality-type,,,,,1,,,,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/11037.png,Albert Brooks,https://www.personality-database.com/profile/11037/albert-brooks-actors-usa-mbti-personality-type,,,,,,,,,3,,,,,,,
Si,Te,100%,,,Fi,97%,,0%,29%,,71%,68%,3%,100%,Ne,,https://api.personality-database.com/profile_images/10131.png,Alec Baldwin,https://www.personality-database.com/profile/10131/alec-baldwin-actors-usa-mbti-personality-type,,,9,,,,21,1,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,Alex Winter,https://www.personality-database.com/profile/22638/alex-winter-actors-usa-mbti-personality-type,,,,,,,1,,,,,,,,,
Ne,Fi,,100%,83%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/29795.png,Alex Wolff,https://www.personality-database.com/profile/29795/alex-wolff-actors-usa-mbti-personality-type,,1,,,,,,,,5,,,,,,
Fi,Ne,100%,95%,,Si,,90%,86%,5%,100%,,0%,10%,,Te,,https://api.personality-database.com/profile_images/3110.png,Andy Samberg,https://www.personality-database.com/profile/3110/andy-samberg-actors-usa-mbti-personality-type,,36,,2,,4,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,Andy Serkis,https://www.personality-database.com/profile/45331/andy-serkis-actors-usa-mbti-personality-type,,,,,,,,,,,,2,,,,
Ni,Fe,89%,100%,,Ti,89%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/32766.png,Ansel Elgort,https://www.personality-database.com/profile/32766/ansel-elgort-actors-usa-mbti-personality-type,8,,,,,,,,,1,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/33568.png,Anthony Anderson,https://www.personality-database.com/profile/33568/anthony-anderson-actors-usa-mbti-personality-type,,,,,,4,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/11599.png,Anthony Mackie,https://www.personality-database.com/profile/11599/anthony-mackie-actors-usa-mbti-personality-type,,,,,,16,,,,,,,,,,
Ne,Ti,,,95%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/3069.png,Anton Yelchin,https://www.personality-database.com/profile/3069/anton-yelchin-actors-usa-mbti-personality-type,,,,1,,,,,,,,20,,,,
Te,Ni,,,60%,Se,96%,90%,1%,89%,,,6%,4%,98%,Fi,,https://api.personality-database.com/profile_images/108.png,Arnold Schwarzenegger,https://www.personality-database.com/profile/108/arnold-schwarzenegger-actors-usa-mbti-personality-type,,,70,,1,,3,2,1,,98,,2,,5,6
Ti,Ne,77%,,,Si,,53%,0%,53%,97%,,3%,43%,77%,Fe,,https://api.personality-database.com/profile_images/19921.png,Ashton Kutcher,https://www.personality-database.com/profile/19921/ashton-kutcher-actors-usa-mbti-personality-type,,,,16,,7,,,,,,,,,1,6
