Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fi,Ne,100%,81%,,Si,,100%,81%,19%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/16123.png,Steve Carrell,https://www.personality-database.com/profile/16123/steve-carrell-actors-usa-mbti-personality-type,,13,,3,,,,,,,,,,,,
Ni,Te,83%,,,Fi,83%,92%,17%,75%,,,8%,0%,83%,Se,,https://api.personality-database.com/profile_images/20427.png,Steve Martin,https://www.personality-database.com/profile/20427/steve-martin-actors-usa-mbti-personality-type,,1,9,,,,,,,1,,,,,1,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/10157.png,Steven Seagal,https://www.personality-database.com/profile/10157/steven-seagal-actors-usa-mbti-personality-type,,,,,,,7,,,,,,,,,
Se,Fi,,100%,100%,Te,,,17%,0%,100%,83%,0%,83%,,Ni,,https://api.personality-database.com/profile_images/20364.png,Steven Yeun,https://www.personality-database.com/profile/20364/steven-yeun-actors-usa-mbti-personality-type,,,,,,,,,,1,,,,5,,
Se,Ti,,,90%,Fe,,,0%,0%,100%,100%,0%,100%,90%,Ni,,https://api.personality-database.com/profile_images/3135.png,Sylvester Stallone,https://www.personality-database.com/profile/3135/sylvester-stallone-actors-usa-mbti-personality-type,,,,,,,,2,,,,,,2,,17
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/48650.png,Taliesin Jaffe,https://www.personality-database.com/profile/48650/taliesin-jaffe-actors-usa-mbti-personality-type,,,,,,,,,,1,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,/images/profile_transparent.png,Taylor Handley,https://www.personality-database.com/profile/22550/taylor-handley-actors-usa-mbti-personality-type,,,,,,,,,,,,,,1,,
Si,Fe,100%,100%,,Ti,90%,,10%,0%,,90%,90%,0%,,Ne,,https://api.personality-database.com/profile_images/21187.png,Terry Crews,https://www.personality-database.com/profile/21187/terry-crews-actors-usa-mbti-personality-type,,1,,,9,,,,,,,,,,,
Ti,Se,88%,,,Ni,,,13%,0%,100%,88%,0%,88%,88%,Fe,,https://api.personality-database.com/profile_images/33444.png,Tim Allen,https://www.personality-database.com/profile/33444/tim-allen-actors-usa-mbti-personality-type,,,,,,,,7,,1,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,Tim Blake Nelson,https://www.personality-database.com/profile/22590/tim-blake-nelson-actors-usa-mbti-personality-type,,,,,,,,4,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,Tim Robbins,https://www.personality-database.com/profile/29969/tim-robbins-actors-usa-mbti-personality-type,,,,,,,,,,,4,,,,,
Fi,Ne,60%,100%,,Si,,92%,92%,0%,100%,,0%,8%,,Te,,https://api.personality-database.com/profile_images/16722.png,Timothée Chalamet,https://www.personality-database.com/profile/16722/timothe-chalamet-actors-usa-mbti-personality-type,,15,,,,,,,,8,,,,2,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/31719.png,Timothy Olyphant,https://www.personality-database.com/profile/31719/timothy-olyphant-actors-usa-mbti-personality-type,,,,2,,,,,,,,,,,,
Ne,Fi,,82%,100%,Te,,100%,82%,18%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/28470.png,Tobey Maguire,https://www.personality-database.com/profile/28470/tobey-maguire-actors-usa-mbti-personality-type,,,,,,,,,,9,,2,,,,
Se,Ti,,,73%,Fe,,,5%,5%,91%,89%,2%,88%,84%,Ni,,https://api.personality-database.com/profile_images/96.png,Tom Cruise,https://www.personality-database.com/profile/96/tom-cruise-actors-usa-mbti-personality-type,1,1,2,,,5,1,5,,1,1,,,1,,38
Ti,Ne,77%,,,Si,,98%,10%,89%,97%,,2%,0%,89%,Fe,,https://api.personality-database.com/profile_images/589.png,Tom Hanks,https://www.personality-database.com/profile/589/tom-hanks-actors-usa-mbti-personality-type,1,5,,40,1,,,,,,,14,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Tom Kenny,https://www.personality-database.com/profile/48963/tom-kenny-actors-usa-mbti-personality-type,,1,,,,,,,,,,,,,,
