Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/49687.png,Tom Savini,https://www.personality-database.com/profile/49687/tom-savini-actors-usa-mbti-personality-type,,,,,,1,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,Tom Sizemore,https://www.personality-database.com/profile/21952/tom-sizemore-actors-usa-mbti-personality-type,,,2,,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/13916.png,Tommy Lee Jones,https://www.personality-database.com/profile/13916/tommy-lee-jones-actors-usa-mbti-personality-type,,,,,,,,,,,,,,,9,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,Tony Shalhoub,https://www.personality-database.com/profile/23282/tony-shalhoub-actors-usa-mbti-personality-type,5,,,,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/49930.png,Tony Todd,https://www.personality-database.com/profile/49930/tony-todd-actors-usa-mbti-personality-type,,1,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/11969.png,Topher Grace,https://www.personality-database.com/profile/11969/topher-grace-actors-usa-mbti-personality-type,,,,6,,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/25513.png,Tracy Morgan,https://www.personality-database.com/profile/25513/tracy-morgan-actors-usa-mbti-personality-type,,,,,,4,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/48641.png,Travis Willingham,https://www.personality-database.com/profile/48641/travis-willingham-actors-usa-mbti-personality-type,,,,,,,,,,,,,,,,1
Ti,Ne,89%,,,Si,,100%,22%,78%,100%,,0%,0%,78%,Fe,,https://api.personality-database.com/profile_images/18632.png,Trey Parker,https://www.personality-database.com/profile/18632/trey-parker-actors-usa-mbti-personality-type,,2,,6,,,,,,,,1,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,Tyler Perry,https://www.personality-database.com/profile/42935/tyler-perry-actors-usa-mbti-personality-type,,,,,,,2,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,11%,89%,100%,,0%,0%,89%,Fe,,https://api.personality-database.com/profile_images/10009.png,Val Kilmer,https://www.personality-database.com/profile/10009/val-kilmer-actors-usa-mbti-personality-type,,1,,8,,,,,,,,,,,,
Ne,Fi,,96%,92%,Te,,96%,92%,4%,72%,,0%,4%,,Si,,https://api.personality-database.com/profile_images/9852.png,Viggo Mortensen,https://www.personality-database.com/profile/9852/viggo-mortensen-actors-usa-mbti-personality-type,,2,,,,,,,6,15,1,,,1,,
Si,Fe,78%,78%,,Ti,87%,,0%,13%,,87%,78%,9%,,Ne,,https://api.personality-database.com/profile_images/993.png,Vin Diesel,https://www.personality-database.com/profile/993/vin-diesel-actors-usa-mbti-personality-type,,,2,,14,,,2,,,,1,4,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,Vincent D'Onofrio,https://www.personality-database.com/profile/48120/vincent-donofrio-actors-usa-mbti-personality-type,,,,,,,,,,,,3,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/50527.png,Walton Goggins,https://www.personality-database.com/profile/50527/walton-goggins-actors-usa-mbti-personality-type,,1,,,,,,,,,,,,,,
Fe,Ni,,83%,100%,Se,61%,61%,61%,0%,,,0%,39%,,Ti,,https://api.personality-database.com/profile_images/1061.png,Wentworth Miller,https://www.personality-database.com/profile/1061/wentworth-miller-actors-usa-mbti-personality-type,,,,,,,,,14,,,,,5,,4
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/33304.png,Wes Bentley,https://www.personality-database.com/profile/33304/wes-bentley-actors-usa-mbti-personality-type,,,,,,,,,,,,,,,3,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/48556.png,Wesley Snipes,https://www.personality-database.com/profile/48556/wesley-snipes-actors-usa-mbti-personality-type,,,,,,,,4,,,,,,,,
Fi,Ne,95%,85%,,Si,,80%,65%,15%,95%,,0%,20%,,Te,,https://api.personality-database.com/profile_images/13050.png,Will Ferrell,https://www.personality-database.com/profile/13050/will-ferrell-actors-usa-mbti-personality-type,,12,1,2,,4,,,,1,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Will Forte,https://www.personality-database.com/profile/32841/will-forte-actors-usa-mbti-personality-type,,1,,,,,,,,,,,,,,
Fi,Ne,99%,94%,,Si,,64%,62%,1%,94%,,3%,34%,,Te,,https://api.personality-database.com/profile_images/97.png,Will Smith,https://www.personality-database.com/profile/97/will-smith-actors-usa-mbti-personality-type,1,46,1,,2,22,,4,1,,,,,,,
Ni,Fe,78%,100%,,Ti,89%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/27109.png,Willem Dafoe,https://www.personality-database.com/profile/27109/willem-dafoe-actors-usa-mbti-personality-type,7,,,,,,,,1,1,,,,,,
Fe,Si,,88%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/22615.png,William H. Macy,https://www.personality-database.com/profile/22615/william-h-macy-actors-usa-mbti-personality-type,,,,,,,,,,,,,7,,1,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,William R. Moses,https://www.personality-database.com/profile/22519/william-r-moses-actors-usa-mbti-personality-type,,,,,1,,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,75%,100%,25%,75%,100%,Ni,,https://api.personality-database.com/profile_images/22576.png,William Sadler,https://www.personality-database.com/profile/22576/william-sadler-actors-usa-mbti-personality-type,,,,,,,,,,,,,,,1,3
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/28854.png,William Zabka,https://www.personality-database.com/profile/28854/william-zabka-actors-usa-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Ti,,,93%,Fe,,75%,9%,66%,95%,,0%,25%,91%,Si,,https://api.personality-database.com/profile_images/3550.png,Woody Allen,https://www.personality-database.com/profile/3550/woody-allen-actors-usa-mbti-personality-type,1,,,1,,,,1,1,2,,28,,,,10
Fi,Ne,67%,80%,,Si,,,40%,0%,80%,60%,20%,40%,,Te,,https://api.personality-database.com/profile_images/22610.png,Woody Harrelson,https://www.personality-database.com/profile/22610/woody-harrelson-actors-usa-mbti-personality-type,,6,,,3,1,,,,,,,,2,,3
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/20951.png,Wyatt Oleff,https://www.personality-database.com/profile/20951/wyatt-oleff-actors-usa-mbti-personality-type,,,,,,2,,,,,,,,,,
Se,Fi,,92%,71%,Te,,,5%,3%,89%,92%,11%,82%,,Ni,,https://api.personality-database.com/profile_images/1054.png,Zac Efron,https://www.personality-database.com/profile/1054/zac-efron-actors-usa-mbti-personality-type,,2,,,3,4,,2,,,,1,1,25,,
Ti,Ne,89%,,,Si,,100%,26%,74%,100%,,0%,0%,74%,Fe,,https://api.personality-database.com/profile_images/1080.png,Zach Galifianakis,https://www.personality-database.com/profile/1080/zach-galifianakis-actors-usa-mbti-personality-type,,3,,14,,,,,,2,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/33556.png,Zachery Levi,https://www.personality-database.com/profile/33556/zachery-levi-actors-usa-mbti-personality-type,,,,4,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/21871.png,Addison Timlin,https://www.personality-database.com/profile/21871/addison-timlin-actresses-usa-mbti-personality-type,,,1,,,,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/36555.png,Adrianne Palicki,https://www.personality-database.com/profile/36555/adrianne-palicki-actresses-usa-mbti-personality-type,,,,,,,,3,,,,,,,,
Ti,Se,88%,,,Ni,,,0%,0%,88%,100%,13%,88%,75%,Fe,,https://api.personality-database.com/profile_images/20434.png,Alexandra Daddario,https://www.personality-database.com/profile/20434/alexandra-daddario-actresses-usa-mbti-personality-type,,,,,,1,,6,,,,,1,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/22561.png,Alexandra Paul,https://www.personality-database.com/profile/22561/alexandra-paul-actresses-usa-mbti-personality-type,,,,,,,,,,,,,1,,,
Fe,Si,,100%,100%,Ne,91%,,9%,0%,,91%,91%,0%,,Ti,,https://api.personality-database.com/profile_images/20854.png,Alexis Bledel,https://www.personality-database.com/profile/20854/alexis-bledel-actresses-usa-mbti-personality-type,,,,,,,,,,1,,,10,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/37228.png,Alicia Silverstone,https://www.personality-database.com/profile/37228/alicia-silverstone-actresses-usa-mbti-personality-type,,6,,,,,,,,,,,,,,
Fi,Ne,100%,94%,,Si,,88%,82%,6%,100%,,0%,12%,,Te,,https://api.personality-database.com/profile_images/451.png,Alison Brie,https://www.personality-database.com/profile/451/alison-brie-actresses-usa-mbti-personality-type,,14,,1,,2,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/33326.png,Alison Sudol,https://www.personality-database.com/profile/33326/alison-sudol-actresses-usa-mbti-personality-type,,,,,,,,,,1,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/34078.png,Allison Janney,https://www.personality-database.com/profile/34078/allison-janney-actresses-usa-mbti-personality-type,,,,,,,,3,,,,,,,,
Fe,Si,,88%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/10498.png,Allison Williams,https://www.personality-database.com/profile/10498/allison-williams-actresses-usa-mbti-personality-type,,,,,,,,,,,,,7,,1,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/33346.png,Aly Michalka,https://www.personality-database.com/profile/33346/aly-michalka-actresses-usa-mbti-personality-type,,,,,,,,,,,,,,,,1
Si,Fe,100%,100%,,Ti,100%,,33%,0%,,67%,67%,0%,,Ne,,https://api.personality-database.com/profile_images/30490.png,Alyson Hannigan,https://www.personality-database.com/profile/30490/alyson-hannigan-actresses-usa-mbti-personality-type,2,,,,4,,,,,,,,,,,
Ni,Fe,88%,100%,,Ti,88%,88%,88%,0%,,,13%,0%,,Se,,https://api.personality-database.com/profile_images/14932.png,Alyson Stoner,https://www.personality-database.com/profile/14932/alyson-stoner-actresses-usa-mbti-personality-type,6,1,,,,,,,,,,,1,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/33595.png,Alyssa Milano,https://www.personality-database.com/profile/33595/alyssa-milano-actresses-usa-mbti-personality-type,,,,,,5,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/24272.png,Amanda Peet,https://www.personality-database.com/profile/24272/amanda-peet-actresses-usa-mbti-personality-type,1,,,,,,,,,,,,,,,
Se,Fi,,100%,95%,Te,,,26%,0%,100%,74%,0%,74%,,Ni,,https://api.personality-database.com/profile_images/13807.png,Amanda Seyfried,https://www.personality-database.com/profile/13807/amanda-seyfried-actresses-usa-mbti-personality-type,,,,,,1,,,,5,,,,13,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/35832.png,Amandla Stenberg,https://www.personality-database.com/profile/35832/amandla-stenberg-actresses-usa-mbti-personality-type,,,,,,,,,,1,,,,,,
Se,Fi,,88%,69%,Te,,,6%,0%,100%,94%,0%,94%,,Ni,,https://api.personality-database.com/profile_images/14643.png,Amber Heard,https://www.personality-database.com/profile/14643/amber-heard-actresses-usa-mbti-personality-type,,1,,,,3,,1,,,,,,10,,1
Ni,Fe,64%,96%,,Ti,88%,92%,88%,4%,,,4%,4%,,Se,,https://api.personality-database.com/profile_images/12333.png,Amy Adams,https://www.personality-database.com/profile/12333/amy-adams-actresses-usa-mbti-personality-type,14,1,1,,,,,,6,1,,,1,1,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/22565.png,Amy Locane,https://www.personality-database.com/profile/22565/amy-locane-actresses-usa-mbti-personality-type,,,,,,1,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,13%,87%,100%,,0%,0%,87%,Fe,,https://api.personality-database.com/profile_images/964.png,Amy Poehler,https://www.personality-database.com/profile/964/amy-poehler-actresses-usa-mbti-personality-type,,4,,26,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,Angela Kinsey,https://www.personality-database.com/profile/48431/angela-kinsey-actresses-usa-mbti-personality-type,,,,,2,,,,,,,,,,,
Ti,Se,81%,,,Ni,,,7%,6%,87%,87%,4%,83%,84%,Fe,,https://api.personality-database.com/profile_images/1001.png,Angelina Jolie,https://www.personality-database.com/profile/1001/angelina-jolie-actresses-usa-mbti-personality-type,3,,2,2,,5,1,44,1,1,,,,1,2,8
Fi,Se,100%,100%,,Ni,,,20%,0%,100%,80%,0%,80%,,Te,,https://api.personality-database.com/profile_images/33554.png,Anna Faris,https://www.personality-database.com/profile/33554/anna-faris-actresses-usa-mbti-personality-type,,1,,,,4,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/36649.png,Anna Gunn,https://www.personality-database.com/profile/36649/anna-gunn-actresses-usa-mbti-personality-type,,,,,,,,,,,,,,,1,
Se,Ti,,,76%,Fe,,,6%,21%,100%,74%,0%,74%,82%,Ni,,https://api.personality-database.com/profile_images/1042.png,Anna Kendrick,https://www.personality-database.com/profile/1042/anna-kendrick-actresses-usa-mbti-personality-type,,,,6,,1,,1,,2,,1,,3,,20
Ni,Fe,94%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/972.png,AnnaSophia Robb,https://www.personality-database.com/profile/972/annasophia-robb-actresses-usa-mbti-personality-type,15,,,,,,,,1,,,,,,,
Si,Fe,88%,95%,,Ti,90%,,5%,3%,,93%,85%,8%,,Ne,,https://api.personality-database.com/profile_images/988.png,Anne Hathaway,https://www.personality-database.com/profile/988/anne-hathaway-actresses-usa-mbti-personality-type,2,,,,29,3,1,,,,,1,4,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/32821.png,Annette Bening,https://www.personality-database.com/profile/32821/annette-bening-actresses-usa-mbti-personality-type,,,,,2,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/19304.png,Arden Cho,https://www.personality-database.com/profile/19304/arden-cho-actresses-usa-mbti-personality-type,,,,,,,,,,1,,,,,,
Si,Fe,60%,80%,,Ti,60%,,0%,20%,,80%,60%,20%,,Ne,,https://api.personality-database.com/profile_images/25480.png,Ariel Winter,https://www.personality-database.com/profile/25480/ariel-winter-actresses-usa-mbti-personality-type,,,,,2,1,,,,,,1,1,,,
Fi,Ne,100%,62%,,Si,,54%,54%,0%,100%,,0%,46%,,Te,,https://api.personality-database.com/profile_images/19305.png,Ashley Benson,https://www.personality-database.com/profile/19305/ashley-benson-actresses-usa-mbti-personality-type,,7,,,,1,,5,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,Ashley Greene,https://www.personality-database.com/profile/37670/ashley-greene-actresses-usa-mbti-personality-type,,,,,,,,,1,,,,,,,
Fe,Si,,,100%,Fe,,,0%,50%,,,50%,0%,,Si,50%,https://api.personality-database.com/profile_images/48642.png,Ashley Johnson,https://www.personality-database.com/profile/48642/ashley-johnson-actresses-usa-mbti-personality-type,,,,,,,,,,,,1,1,,,
Fe,Ne,,100%,,Se,,100%,100%,0%,,,0%,0%,,Te,50%,https://api.personality-database.com/profile_images/33663.png,Ashley Judd,https://www.personality-database.com/profile/33663/ashley-judd-actresses-usa-mbti-personality-type,,1,,,,,,,1,,,,,,,
Te,Ni,,,100%,Se,86%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/1018.png,Ashley Olsen,https://www.personality-database.com/profile/1018/ashley-olsen-actresses-usa-mbti-personality-type,,,,,,,,,,,25,4,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/34017.png,Ashley Tisdale,https://www.personality-database.com/profile/34017/ashley-tisdale-actresses-usa-mbti-personality-type,,,,,,,,,,,,,,4,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/36318.png,Asia Kate Dillon,https://www.personality-database.com/profile/36318/asia-kate-dillon-actresses-usa-mbti-personality-type,,,,,,,,,,,,,,3,,
Ne,Ti,,,94%,Fe,,90%,10%,80%,87%,,0%,10%,90%,Si,,https://api.personality-database.com/profile_images/3820.png,Aubrey Plaza,https://www.personality-database.com/profile/3820/aubrey-plaza-actresses-usa-mbti-personality-type,2,,1,2,,,,,5,1,2,58,,,,8
Ne,Ti,,,100%,Fe,,67%,0%,67%,100%,,0%,33%,67%,Si,,https://api.personality-database.com/profile_images/37571.png,Billie Lourd,https://www.personality-database.com/profile/37571/billie-lourd-actresses-usa-mbti-personality-type,,,,,,,,,,,,2,,1,,
Si,Fe,96%,100%,,Ti,56%,,20%,0%,,80%,56%,24%,,Ne,,https://api.personality-database.com/profile_images/16157.png,Blake Lively,https://www.personality-database.com/profile/16157/blake-lively-actresses-usa-mbti-personality-type,,5,,,13,6,,,,,,,1,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/20302.png,Blanchard Ryan,https://www.personality-database.com/profile/20302/blanchard-ryan-actresses-usa-mbti-personality-type,,,,,,,,,,,,,1,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/24606.png,Bonnie Wright,https://www.personality-database.com/profile/24606/bonnie-wright-actresses-usa-mbti-personality-type,3,,,,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/34155.png,Brenda Song,https://www.personality-database.com/profile/34155/brenda-song-actresses-usa-mbti-personality-type,,,,,6,,,,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/28947.png,Bridget Moynahan,https://www.personality-database.com/profile/28947/bridget-moynahan-actresses-usa-mbti-personality-type,,,,,,,3,,,,,,,,,
Fe,Ni,,100%,57%,Se,71%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/35121.png,Bridgit Mendler,https://www.personality-database.com/profile/35121/bridgit-mendler-actresses-usa-mbti-personality-type,1,2,,,,,,,4,,,,,,,
Fi,Ne,83%,94%,,Si,,94%,91%,3%,89%,,3%,3%,,Te,,https://api.personality-database.com/profile_images/3226.png,Brie Larson,https://www.personality-database.com/profile/3226/brie-larson-actresses-usa-mbti-personality-type,5,46,,1,,2,1,,,9,,1,,,1,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/16791.png,Brit Marling,https://www.personality-database.com/profile/16791/brit-marling-actresses-usa-mbti-personality-type,,,,,,,,,5,,,,,,,
Fe,Fi,,100%,100%,Ne,,,0%,0%,,100%,50%,50%,,Ni,50%,https://api.personality-database.com/profile_images/50585.png,Brittany Murphy,https://www.personality-database.com/profile/50585/brittany-murphy-actresses-usa-mbti-personality-type,,,,,,,,,,,,,1,1,,
Si,Fe,67%,100%,,Ti,67%,,0%,0%,,100%,67%,33%,,Ne,,https://api.personality-database.com/profile_images/34077.png,Brittany Snow,https://www.personality-database.com/profile/34077/brittany-snow-actresses-usa-mbti-personality-type,,,,,2,,,,,,,,,1,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/38735.png,Brooke Shields,https://www.personality-database.com/profile/38735/brooke-shields-actresses-usa-mbti-personality-type,,,,,,,,,,,,,,1,,
Si,Fe,100%,100%,,Ti,100%,,15%,0%,,85%,85%,0%,,Ne,,https://api.personality-database.com/profile_images/20286.png,Bryce Dallas Howard,https://www.personality-database.com/profile/20286/bryce-dallas-howard-actresses-usa-mbti-personality-type,2,,,,11,,,,,,,,,,,
Se,Fi,,63%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/22601.png,Cailee Spaeny,https://www.personality-database.com/profile/22601/cailee-spaeny-actresses-usa-mbti-personality-type,,,,,,,,,,,,,,5,,3
Fi,Se,89%,94%,,Ni,,,0%,0%,83%,100%,17%,83%,,Te,,https://api.personality-database.com/profile_images/1009.png,Cameron Diaz,https://www.personality-database.com/profile/1009/cameron-diaz-actresses-usa-mbti-personality-type,,,,,2,14,,,,,,,,1,1,
Ni,Fe,100%,100%,,Ti,90%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/16704.png,Camila Mendes,https://www.personality-database.com/profile/16704/camila-mendes-actresses-usa-mbti-personality-type,19,2,,,,,,,,,,,,,,
