Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fi,Ne,100%,100%,,Si,,67%,67%,0%,92%,,8%,25%,,Te,,https://api.personality-database.com/profile_images/22604.png,Kelly Clarkson,https://www.personality-database.com/profile/22604/kelly-clarkson-musicians-usa-female-mbti-personality-type,,8,,,1,3,,,,,,,,,,
Fi,Se,88%,100%,,Ni,,,38%,0%,100%,63%,0%,63%,,Te,,https://api.personality-database.com/profile_images/6469.png,Kelly Rowland,https://www.personality-database.com/profile/6469/kelly-rowland-musicians-usa-female-mbti-personality-type,,3,,,,4,,,,,,,,1,,
Fi,Fe,100%,100%,,Ni,,,0%,0%,,100%,50%,50%,,Ne,50%,https://api.personality-database.com/profile_images/34173.png,Kelsea Ballerini,https://www.personality-database.com/profile/34173/kelsea-ballerini-musicians-usa-female-mbti-personality-type,,,,,1,1,,,,,,,,,,
Fi,Ne,100%,60%,,Si,,53%,23%,30%,98%,,0%,48%,,Te,,https://api.personality-database.com/profile_images/7390.png,Kesha,https://www.personality-database.com/profile/7390/kesha-musicians-usa-female-mbti-personality-type,1,8,,12,,15,,4,,,,,,,,
Fi,Fi,,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Ni,50%,https://api.personality-database.com/profile_images/15684.png,Kiiara,https://www.personality-database.com/profile/15684/kiiara-musicians-usa-female-mbti-personality-type,,,,,,1,,,,,,,,1,,
Fi,Ne,71%,100%,,Si,,100%,100%,0%,86%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/22666.png,Kim Deal,https://www.personality-database.com/profile/22666/kim-deal-musicians-usa-female-mbti-personality-type,,5,,,,,,,1,1,,,,,,
Ne,Ti,,,78%,Fe,,100%,22%,78%,89%,,0%,0%,78%,Si,,https://api.personality-database.com/profile_images/10639.png,Kim Gordon,https://www.personality-database.com/profile/10639/kim-gordon-musicians-usa-female-mbti-personality-type,,1,1,,,,,,,1,,6,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,Kimya Dawson,https://www.personality-database.com/profile/50371/kimya-dawson-musicians-usa-female-mbti-personality-type,,,,,,,,,1,,,,,,,
Se,Fi,,100%,67%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/39194.png,King Princess,https://www.personality-database.com/profile/39194/king-princess-musicians-usa-female-mbti-personality-type,,,,,,1,,,,,,,,2,,
Fe,Si,,100%,100%,Ne,75%,,0%,0%,,100%,75%,25%,,Ti,,https://api.personality-database.com/profile_images/19620.png,Kitty Wells,https://www.personality-database.com/profile/19620/kitty-wells-musicians-usa-female-mbti-personality-type,,,,,,,,,,,,,3,1,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/41204.png,Kreayshawn,https://www.personality-database.com/profile/41204/kreayshawn-musicians-usa-female-mbti-personality-type,,,,,,,,,,,,,,,,2
