Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Te,Ni,,,63%,Se,63%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/31149.png,Brian Greene,https://www.personality-database.com/profile/31149/brian-greene-physics-astronomy-mbti-personality-type,,,,3,,,,,,,5,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,71%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/7522.png,Carl Friedrich Gauss,https://www.personality-database.com/profile/7522/carl-friedrich-gauss-mathematics-mbti-personality-type,,,,,,,,,,,6,15,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/46475.png,Daniel Bernoulli,https://www.personality-database.com/profile/46475/daniel-bernoulli-mathematics-mbti-personality-type,,,,,,,,,,,,,,,4,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,David Hilbert,https://www.personality-database.com/profile/46643/david-hilbert-mathematics-mbti-personality-type,,,,,,,,,,,3,,,,,
Fi,Ne,80%,80%,,Si,,80%,80%,0%,80%,,20%,0%,,Te,,/images/profile_transparent.png,Edward Burger,https://www.personality-database.com/profile/36355/edward-burger-mathematics-mbti-personality-type,,4,,,,,,,,,,,,,1,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,Emmy Noether,https://www.personality-database.com/profile/46645/emmy-noether-mathematics-mbti-personality-type,,,,,,,,,,,,2,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/28934.png,Évariste Galois,https://www.personality-database.com/profile/28934/variste-galois-mathematics-mbti-personality-type,,,,,,,,,,,7,,,,,
Te,Ni,,,100%,Se,100%,75%,0%,75%,,,25%,0%,100%,Fi,,/images/profile_transparent.png,Fibonacci,https://www.personality-database.com/profile/46642/fibonacci-mathematics-mbti-personality-type,,,,,,,,,,,3,,,,1,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/28931.png,Georg Ohm,https://www.personality-database.com/profile/28931/georg-ohm-physics-astronomy-mbti-personality-type,,,,,,,,,,,8,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,Goro Shimura,https://www.personality-database.com/profile/37770/goro-shimura-mathematics-mbti-personality-type,,,,,,,,,,,2,,,,,
