Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Te,Ni,,,86%,Se,71%,100%,29%,71%,,,0%,0%,71%,Fi,,https://api.personality-database.com/profile_images/11658.png,Charlotte Rampling,https://www.personality-database.com/profile/11658/charlotte-rampling-people-of-classic-hollywood-mbti-personality-type,,,,1,,,,,2,,3,1,,,,
Te,Ni,,,71%,Se,62%,95%,5%,90%,,,5%,0%,95%,Fi,,https://api.personality-database.com/profile_images/13914.png,Christoph Waltz,https://www.personality-database.com/profile/13914/christoph-waltz-actors-actresses-europe-mbti-personality-type,,,,6,,,,,1,,11,2,,,1,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/19290.png,Clémence Poésy,https://www.personality-database.com/profile/19290/clmence-posy-actors-actresses-europe-mbti-personality-type,,,,,,,,,,2,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/11747.png,Daniel Brühl,https://www.personality-database.com/profile/11747/daniel-brhl-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,6,,,,,
Ni,Te,100%,,,Fi,83%,100%,17%,83%,,,0%,0%,83%,Se,,https://api.personality-database.com/profile_images/13913.png,Diane Kruger,https://www.personality-database.com/profile/13913/diane-kruger-actors-actresses-europe-mbti-personality-type,,1,5,,,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,76%,0%,76%,,,24%,0%,100%,Fi,,https://api.personality-database.com/profile_images/3944.png,Dolph Lundgren,https://www.personality-database.com/profile/3944/dolph-lundgren-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,13,,,,4,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/22840.png,Elsa Pataky,https://www.personality-database.com/profile/22840/elsa-pataky-actors-actresses-europe-mbti-personality-type,,,,,3,,,,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/22527.png,Émilie Dequenne,https://www.personality-database.com/profile/22527/milie-dequenne-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,2,,,
Ne,Fi,,100%,100%,Te,,96%,96%,0%,71%,,0%,4%,,Si,,https://api.personality-database.com/profile_images/6952.png,Eva Green,https://www.personality-database.com/profile/6952/eva-green-actors-actresses-europe-mbti-personality-type,,,,,,,,,7,16,,,,1,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/20089.png,Famke Janssen,https://www.personality-database.com/profile/20089/famke-janssen-actors-actresses-europe-mbti-personality-type,,5,,,,,,,,,,,,,,
