Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Franka Potente,https://www.personality-database.com/profile/50602/franka-potente-actors-actresses-europe-mbti-personality-type,,3,,,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Gaite Jansen,https://www.personality-database.com/profile/42585/gaite-jansen-actors-actresses-europe-mbti-personality-type,,1,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,60%,0%,60%,100%,,0%,40%,100%,Fe,,https://api.personality-database.com/profile_images/11699.png,Gérard Depardieu,https://www.personality-database.com/profile/11699/grard-depardieu-actors-actresses-europe-mbti-personality-type,,,,3,,,,2,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/6257.png,Gérard Philipe,https://www.personality-database.com/profile/6257/grard-philipe-actors-actresses-europe-mbti-personality-type,1,,,,,,,,,,,,,,,
Ne,Fi,,,,Fi,,,50%,0%,,,50%,0%,,Ne,50%,https://api.personality-database.com/profile_images/11755.png,Gustaf Skarsgård,https://www.personality-database.com/profile/11755/gustaf-skarsgrd-actors-actresses-europe-mbti-personality-type,,,,,,,1,,,1,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/9000.png,"Hafþór ""Thor"" Júlíus Björnsson",https://www.personality-database.com/profile/9000/hafr-thor-jlus-bjrnsson-weightlifting-strongmen-mbti-personality-type,,,,,,,,6,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/27756.png,Hape Kerkeling,https://www.personality-database.com/profile/27756/hape-kerkeling-actors-actresses-europe-mbti-personality-type,,,,,1,,,,,,,,,,,
Fe,Ni,,100%,100%,Se,75%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/35904.png,Ingrid Bergman,https://www.personality-database.com/profile/35904/ingrid-bergman-people-of-classic-hollywood-mbti-personality-type,,,,,,,,,6,2,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/50583.png,Ingrid Thulin,https://www.personality-database.com/profile/50583/ingrid-thulin-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,,1,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/11693.png,Isabelle Adjani,https://www.personality-database.com/profile/11693/isabelle-adjani-actors-actresses-europe-mbti-personality-type,,,,,,,,,,3,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,75%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/11692.png,Isabelle Huppert,https://www.personality-database.com/profile/11692/isabelle-huppert-actors-actresses-europe-mbti-personality-type,,,,,,,,,1,3,,,,,,
Fe,Fi,,100%,100%,Ne,,,0%,0%,,100%,50%,50%,,Ni,50%,/images/profile_transparent.png,Izabella Scorupco,https://www.personality-database.com/profile/20088/izabella-scorupco-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,1,1,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/50190.png,Jane Birkin,https://www.personality-database.com/profile/50190/jane-birkin-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,1,,,
Se,Ti,,,89%,Fe,,,0%,11%,89%,89%,0%,89%,100%,Ni,,https://api.personality-database.com/profile_images/9993.png,Javier Bardem,https://www.personality-database.com/profile/9993/javier-bardem-actors-actresses-europe-mbti-personality-type,,,,,,,,1,,,1,,,,,7
Se,Fi,,73%,73%,Te,,,18%,18%,64%,64%,0%,64%,,Ni,,https://api.personality-database.com/profile_images/10156.png,Jean Claude Van Damme,https://www.personality-database.com/profile/10156/jean-claude-van-damme-actors-actresses-europe-mbti-personality-type,1,,2,,,,,,1,,,,,6,,1
Ni,Fe,67%,67%,,Ti,67%,,33%,0%,,67%,33%,33%,,Ne,,https://api.personality-database.com/profile_images/11700.png,Jean Reno,https://www.personality-database.com/profile/11700/jean-reno-actors-actresses-europe-mbti-personality-type,1,,,,1,,,,,,,,,,,1
Ne,Fi,,100%,100%,Te,,100%,100%,0%,75%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/12665.png,Julie Delpy,https://www.personality-database.com/profile/12665/julie-delpy-actors-actresses-europe-mbti-personality-type,,,,,,,,,1,3,,,,,,
Ne,Fi,,100%,80%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/11694.png,Juliette Binoche,https://www.personality-database.com/profile/11694/juliette-binoche-actors-actresses-europe-mbti-personality-type,,1,,,,,,,,4,,,,,,
Ni,Fe,100%,,,Fi,100%,100%,50%,50%,,,0%,0%,,Se,50%,/images/profile_transparent.png,Klaus Kinski,https://www.personality-database.com/profile/20176/klaus-kinski-actors-actresses-europe-mbti-personality-type,1,,1,,,,,,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/41596.png,Laetitia Casta,https://www.personality-database.com/profile/41596/laetitia-casta-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,1,,,
Se,Fi,,67%,100%,Te,,,17%,0%,100%,83%,0%,83%,,Ni,,https://api.personality-database.com/profile_images/11691.png,Léa Seydoux,https://www.personality-database.com/profile/11691/la-seydoux-actors-actresses-europe-mbti-personality-type,,,,,,,,,,1,,,,3,,2
Fi,Se,83%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/11742.png,Lily-Rose Depp,https://www.personality-database.com/profile/11742/lilyrose-depp-actors-actresses-europe-mbti-personality-type,,,,,,5,,,,,,,,1,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/50581.png,Liv Ullmann,https://www.personality-database.com/profile/50581/liv-ullmann-actors-actresses-europe-mbti-personality-type,,,,,,,,,1,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/11695.png,Ludivine Sagnier,https://www.personality-database.com/profile/11695/ludivine-sagnier-actors-actresses-europe-mbti-personality-type,,1,,,,,,,,,,,,,,
Te,Ni,,,77%,Se,68%,77%,14%,64%,,,0%,23%,64%,Fi,,https://api.personality-database.com/profile_images/11744.png,Mads Mikkelsen,https://www.personality-database.com/profile/11744/mads-mikkelsen-actors-actresses-europe-mbti-personality-type,,1,1,,,3,,,1,1,13,,,2,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/50524.png,Marcello Mastroianni,https://www.personality-database.com/profile/50524/marcello-mastroianni-actors-actresses-europe-mbti-personality-type,,,,,,1,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/50321.png,Margarita Terekhova,https://www.personality-database.com/profile/50321/margarita-terekhova-actors-actresses-europe-mbti-personality-type,,,,,2,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,91%,91%,0%,100%,,0%,9%,,Si,,https://api.personality-database.com/profile_images/19320.png,Marion Cotillard,https://www.personality-database.com/profile/19320/marion-cotillard-actors-actresses-europe-mbti-personality-type,,,,,,,,,,10,,,,1,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/29714.png,Matilda Lutz,https://www.personality-database.com/profile/29714/matilda-lutz-actors-actresses-europe-mbti-personality-type,,,,,1,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/36403.png,Matilda Smedius,https://www.personality-database.com/profile/36403/matilda-smedius-actors-actresses-europe-mbti-personality-type,,,,,,,,,,1,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/19322.png,Mélanie Laurent,https://www.personality-database.com/profile/19322/mlanie-laurent-actors-actresses-europe-mbti-personality-type,,1,,,,,,,,,,,,,,
Fi,Fe,67%,100%,,Si,,67%,67%,0%,67%,,33%,0%,,Ne,,https://api.personality-database.com/profile_images/3543.png,Mihai Bendeac,https://www.personality-database.com/profile/3543/mihai-bendeac-actors-actresses-europe-mbti-personality-type,,1,,,1,,,,,1,,,,,,
Ti,Se,93%,,,Ni,,,18%,7%,86%,75%,4%,71%,79%,Fe,,https://api.personality-database.com/profile_images/1745.png,Mila Kunis,https://www.personality-database.com/profile/1745/mila-kunis-actresses-usa-mbti-personality-type,3,2,,2,,1,,18,,,,,,,1,1
Ti,Se,92%,,,Ni,,,0%,15%,100%,85%,0%,85%,100%,Fe,,https://api.personality-database.com/profile_images/20287.png,Milla Jovovich,https://www.personality-database.com/profile/20287/milla-jovovich-actresses-usa-mbti-personality-type,,,,2,,,,10,,,,,,,,1
Fi,Fe,63%,100%,,Te,,,25%,0%,63%,75%,25%,50%,,Ne,,https://api.personality-database.com/profile_images/10460.png,Monica Bellucci,https://www.personality-database.com/profile/10460/monica-bellucci-actors-actresses-europe-mbti-personality-type,1,,,,2,2,,,,1,,,,2,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/50323.png,Monica Vitti,https://www.personality-database.com/profile/50323/monica-vitti-actors-actresses-europe-mbti-personality-type,,,,,,2,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,Moritz Bleibtreu,https://www.personality-database.com/profile/49119/moritz-bleibtreu-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,,,2
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/31030.png,Nadia Hilker,https://www.personality-database.com/profile/31030/nadia-hilker-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,1,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/29038.png,Nastassja Kinski,https://www.personality-database.com/profile/29038/nastassja-kinski-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,2,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,Nicoletta Braschi,https://www.personality-database.com/profile/22529/nicoletta-braschi-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,,,1
Se,Ti,,,100%,Fe,,,33%,0%,67%,67%,0%,67%,67%,Ni,,https://api.personality-database.com/profile_images/11765.png,Nikolaj Coster-Waldau ,https://www.personality-database.com/profile/11765/nikolaj-costerwaldau-actors-actresses-europe-mbti-personality-type,,,,,,,,,4,,,,,,,8
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/9994.png,Olga Kurylenko,https://www.personality-database.com/profile/9994/olga-kurylenko-actors-actresses-europe-mbti-personality-type,,,,,,,,,,3,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/11702.png,Omar Sy,https://www.personality-database.com/profile/11702/omar-sy-actors-actresses-europe-mbti-personality-type,,,,,,5,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/29683.png,Penélope Cruz,https://www.personality-database.com/profile/29683/penlope-cruz-actors-actresses-europe-mbti-personality-type,,,,,7,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/33476.png,Pilou Asbæk,https://www.personality-database.com/profile/33476/pilou-asbk-actors-actresses-europe-mbti-personality-type,,,,,,4,,,,,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/25492.png,Rebecca Ferguson,https://www.personality-database.com/profile/25492/rebecca-ferguson-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,3,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,Roberto Benigni,https://www.personality-database.com/profile/22512/roberto-benigni-actors-actresses-europe-mbti-personality-type,,4,,,,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/47762.png,Romy Schneider,https://www.personality-database.com/profile/47762/romy-schneider-actors-actresses-europe-mbti-personality-type,,,,,,,,,,1,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/6472.png,Rutger Hauer,https://www.personality-database.com/profile/6472/rutger-hauer-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,5,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/6323.png,Sarah Bernhardt,https://www.personality-database.com/profile/6323/sarah-bernhardt-actors-actresses-europe-mbti-personality-type,,,,,,1,,,,,,,,,,
Se,Fi,,92%,100%,Te,,,8%,0%,92%,92%,0%,92%,,Ni,,https://api.personality-database.com/profile_images/922.png,Sebastian Stan,https://www.personality-database.com/profile/922/sebastian-stan-actors-usa-mbti-personality-type,,,,,,,,,1,,,,,10,,1
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,/images/profile_transparent.png,Sofia Boutella,https://www.personality-database.com/profile/19555/sofia-boutella-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,3,,
Ni,Fe,70%,90%,,Ti,70%,60%,60%,0%,,,10%,30%,,Se,,https://api.personality-database.com/profile_images/35120.png,Sophia Loren,https://www.personality-database.com/profile/35120/sophia-loren-people-of-classic-hollywood-mbti-personality-type,6,,,,,1,,,,,,,,2,1,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/20265.png,Sophie Marceau,https://www.personality-database.com/profile/20265/sophie-marceau-actors-actresses-europe-mbti-personality-type,,,,,,,,,,2,,,,,,
Fe,Ni,,100%,100%,Se,88%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/16252.png,Stefan Karl Stefansson,https://www.personality-database.com/profile/16252/stefan-karl-stefansson-actors-actresses-europe-mbti-personality-type,,,,,,,,,7,1,,,,,,
Fe,Ni,,67%,100%,Se,100%,100%,67%,33%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/11757.png,Stellan Skarsgård,https://www.personality-database.com/profile/11757/stellan-skarsgrd-actors-actresses-europe-mbti-personality-type,,,,,,,,,2,,1,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,Sylvia Hoeks,https://www.personality-database.com/profile/22118/sylvia-hoeks-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,1,,,
Fe,Fi,,100%,100%,Te,,,33%,0%,67%,67%,33%,33%,,Ni,,https://api.personality-database.com/profile_images/46908.png,Tarık Akan,https://www.personality-database.com/profile/46908/tark-akan-actors-actresses-europe-mbti-personality-type,,,,,,,,,,1,,,1,1,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,Til Schweiger,https://www.personality-database.com/profile/49118/til-schweiger-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,,,2
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/29462.png,Virginie Ledoyen,https://www.personality-database.com/profile/29462/virginie-ledoyen-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,1,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,/images/profile_transparent.png,Xenia Seeberg,https://www.personality-database.com/profile/22530/xenia-seeberg-actors-actresses-europe-mbti-personality-type,,,,,,,,,,,,,,1,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,Adriana Esteves,https://www.personality-database.com/profile/49854/adriana-esteves-actors-actresses-latin-america-mbti-personality-type,,,,,2,,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/49849.png,Agatha Moreira,https://www.personality-database.com/profile/49849/agatha-moreira-actors-actresses-latin-america-mbti-personality-type,,,,,,,,1,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,Alexandre Nero,https://www.personality-database.com/profile/50335/alexandre-nero-actors-actresses-latin-america-mbti-personality-type,,,,,,,1,,,,,,,,,
Se,Fi,,100%,100%,Te,,,10%,0%,90%,90%,0%,90%,,Ni,,https://api.personality-database.com/profile_images/16989.png,Ana de Armas,https://www.personality-database.com/profile/16989/ana-de-armas-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,1,,,,,9,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/50291.png,Andy García,https://www.personality-database.com/profile/50291/andy-garca-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,2,,,,,,,
Te,Ne,,,,Se,,100%,0%,100%,,,0%,0%,100%,Fe,50%,https://api.personality-database.com/profile_images/48155.png,Antônio Abujamra,https://www.personality-database.com/profile/48155/antnio-abujamra-actors-actresses-latin-america-mbti-personality-type,,,,1,,,,,,,1,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,Antônio Fagundes,https://www.personality-database.com/profile/49858/antnio-fagundes-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,,1,,,,,
Si,Fe,71%,100%,,Ti,,,0%,0%,57%,100%,43%,57%,,Ne,,https://api.personality-database.com/profile_images/23868.png,Bruna Marquezine,https://www.personality-database.com/profile/23868/bruna-marquezine-actors-actresses-latin-america-mbti-personality-type,,,,,3,2,,,,,,,,2,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/47804.png,Bruno Gagliasso,https://www.personality-database.com/profile/47804/bruno-gagliasso-actors-actresses-latin-america-mbti-personality-type,,,,,,,,1,,,,,,,,
Fe,Ni,,,100%,Se,67%,100%,33%,67%,,,0%,0%,67%,Fi,,https://api.personality-database.com/profile_images/50489.png,Caio Blat,https://www.personality-database.com/profile/50489/caio-blat-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,1,,1,1,,,,
Se,Si,,,100%,Fe,,,0%,0%,,100%,50%,50%,100%,Fi,50%,https://api.personality-database.com/profile_images/49384.png,Caio Castro,https://www.personality-database.com/profile/49384/caio-castro-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,,,,,,1,1
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,Camila Pitanga,https://www.personality-database.com/profile/47805/camila-pitanga-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,,,,,,1,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/36386.png,Carolina Ravassa,https://www.personality-database.com/profile/36386/carolina-ravassa-actors-actresses-latin-america-mbti-personality-type,,,,,,,,1,,,,,,,,
Se,Ti,,,100%,Fe,,,33%,0%,100%,67%,0%,67%,67%,Ni,,https://api.personality-database.com/profile_images/50311.png,Cauã Reymond,https://www.personality-database.com/profile/50311/cau-reymond-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,1,,,,,,2
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/50324.png,Chay Suede,https://www.personality-database.com/profile/50324/chay-suede-actors-actresses-latin-america-mbti-personality-type,,,,,,1,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/48154.png,Chico Anysio,https://www.personality-database.com/profile/48154/chico-anysio-actors-actresses-latin-america-mbti-personality-type,,,,2,,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,Cleo Pires,https://www.personality-database.com/profile/47806/cleo-pires-actors-actresses-latin-america-mbti-personality-type,,,,,,1,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/50309.png,Débora Falabella,https://www.personality-database.com/profile/50309/dbora-falabella-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,,,,,,2,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,Deborah Secco,https://www.personality-database.com/profile/47808/deborah-secco-actors-actresses-latin-america-mbti-personality-type,,,,,,2,,,,,,,,,,
Fi,Se,75%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/12009.png,Eiza González ,https://www.personality-database.com/profile/12009/eiza-gonzlez-actors-actresses-latin-america-mbti-personality-type,,,,,,3,,,,,,,,1,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/48375.png,Elke Maravilha,https://www.personality-database.com/profile/48375/elke-maravilha-actors-actresses-latin-america-mbti-personality-type,,,,1,,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/49960.png,Evandro Santo,https://www.personality-database.com/profile/49960/evandro-santo-actors-actresses-latin-america-mbti-personality-type,2,,,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/49634.png,Fábio Assunção,https://www.personality-database.com/profile/49634/fbio-assuno-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,,,2,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/48655.png,Fernanda Montenegro,https://www.personality-database.com/profile/48655/fernanda-montenegro-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,3,,,,,,,
Ne,Fi,,,100%,Se,,100%,50%,50%,,,0%,0%,,Fi,50%,https://api.personality-database.com/profile_images/50485.png,Gabriel Braga Nunes,https://www.personality-database.com/profile/50485/gabriel-braga-nunes-actors-actresses-latin-america-mbti-personality-type,,,,,,,,,,1,1,,,,,
Ni,Fe,100%,100%,,Ti,100%,86%,86%,0%,,,14%,0%,,Se,,https://api.personality-database.com/profile_images/14978.png,Gaby Espino,https://www.personality-database.com/profile/14978/gaby-espino-actors-actresses-latin-america-mbti-personality-type,6,,,,1,,,,,,,,,,,
Ni,Fe,83%,100%,,Ti,83%,67%,67%,0%,,,17%,17%,,Se,,https://api.personality-database.com/profile_images/10205.png,Gael Garcia Bernal,https://www.personality-database.com/profile/10205/gael-garcia-bernal-actors-actresses-latin-america-mbti-personality-type,4,,,,1,,,,,,,,,1,,
Fe,Se,,100%,,Ne,,,0%,0%,,100%,50%,50%,,Te,50%,https://api.personality-database.com/profile_images/47803.png,Giovanna Ewbank,https://www.personality-database.com/profile/47803/giovanna-ewbank-actors-actresses-latin-america-mbti-personality-type,,,,,,1,,,,,,,1,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/49952.png,Grande Otelo,https://www.personality-database.com/profile/49952/grande-otelo-actors-actresses-latin-america-mbti-personality-type,,,,,,1,,,,,,,,,,
