Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/34539.png,Gerard Butler,https://www.personality-database.com/profile/34539/gerard-butler-actors-british-isles-mbti-personality-type,,,,,,,,5,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/33305.png,Harry Lloyd,https://www.personality-database.com/profile/33305/harry-lloyd-actors-british-isles-mbti-personality-type,,,,,,,,,1,,,,,,,
Si,Fe,57%,100%,,Ti,93%,,14%,0%,,86%,86%,0%,,Ne,,https://api.personality-database.com/profile_images/14543.png,Henry Cavill,https://www.personality-database.com/profile/14543/henry-cavill-actors-british-isles-mbti-personality-type,1,,,,7,,,,,1,,,5,,,
Ne,Fi,,75%,100%,Te,,75%,50%,25%,100%,,0%,25%,,Si,,https://api.personality-database.com/profile_images/11743.png,Hugh Dancy,https://www.personality-database.com/profile/11743/hugh-dancy-actors-british-isles-mbti-personality-type,,,,,,,,,,2,,1,,1,,
Ti,Ne,94%,,,Si,,94%,12%,82%,94%,,6%,0%,88%,Fe,,https://api.personality-database.com/profile_images/3067.png,Hugh Grant,https://www.personality-database.com/profile/3067/hugh-grant-actors-british-isles-mbti-personality-type,,2,,14,,,,,,,,,,,1,
Ne,Fi,,67%,78%,Te,,100%,67%,33%,89%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/29725.png,Hugh Laurie,https://www.personality-database.com/profile/29725/hugh-laurie-actors-british-isles-mbti-personality-type,,,,2,,,,,,6,1,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/11799.png,Iain Glen,https://www.personality-database.com/profile/11799/iain-glen-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,2,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/28041.png,Ian Holm,https://www.personality-database.com/profile/28041/ian-holm-actors-british-isles-mbti-personality-type,,,,,,,,,,1,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/33187.png,Ian McDiarmid,https://www.personality-database.com/profile/33187/ian-mcdiarmid-actors-british-isles-mbti-personality-type,,2,,,,,,,,,,,,,,
Fi,Ne,75%,75%,,Si,,100%,75%,25%,88%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/23771.png,Ian McKellen,https://www.personality-database.com/profile/23771/ian-mckellen-actors-british-isles-mbti-personality-type,,6,,,,,,,,,1,1,,,,
Ti,Se,100%,,,Ni,,,0%,8%,85%,92%,8%,85%,85%,Fe,,https://api.personality-database.com/profile_images/3227.png,Idris Elba,https://www.personality-database.com/profile/3227/idris-elba-actors-british-isles-mbti-personality-type,,,1,,1,1,,10,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/34685.png,Isaac Hempstead Wright,https://www.personality-database.com/profile/34685/isaac-hempstead-wright-actors-british-isles-mbti-personality-type,,,,,,,,,,,4,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/31134.png,Iwan Rheon,https://www.personality-database.com/profile/31134/iwan-rheon-actors-british-isles-mbti-personality-type,,,,,,,,,,5,,,,,,
Se,Fi,,100%,100%,Te,,,33%,0%,100%,67%,0%,67%,,Ni,,https://api.personality-database.com/profile_images/33308.png,Jack Gleeson,https://www.personality-database.com/profile/33308/jack-gleeson-actors-british-isles-mbti-personality-type,,,,,,,,,,1,,,,2,,
Ne,Fi,,100%,100%,Te,,67%,67%,0%,100%,,0%,33%,,Si,,https://api.personality-database.com/profile_images/40606.png,Jacob Anderson,https://www.personality-database.com/profile/40606/jacob-anderson-actors-british-isles-mbti-personality-type,,,,,,,,,,2,,,,1,,
Fi,Ne,81%,96%,,Si,,96%,93%,4%,100%,,0%,4%,,Te,,https://api.personality-database.com/profile_images/3154.png,James McAvoy,https://www.personality-database.com/profile/3154/james-mcavoy-actors-british-isles-mbti-personality-type,,22,,,,,,,,3,,1,,1,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,Jason Flemyng,https://www.personality-database.com/profile/22520/jason-flemyng-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,,,1
