Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,63%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/39537/marc-antony-historical-figures-antiquity-mbti-personality-type,,,,,,3,,5,,,,,,,,
Fe,Ni,,82%,100%,Se,100%,77%,68%,9%,,,23%,0%,,Ti,,https://api.personality-database.com/profile_images/35765.png,https://www.personality-database.com/profile/35765/marcus-aurelius-historical-figures-antiquity-mbti-personality-type,,,,,,,,,15,,2,,3,,2,
Ni,Te,100%,,,Fi,100%,75%,0%,75%,,,25%,0%,100%,Se,,https://api.personality-database.com/profile_images/22161.png,https://www.personality-database.com/profile/22161/nebuchadnezzar-ii-historical-figures-antiquity-mbti-personality-type,,,3,,,,1,,,,,,,,,
Fe,Fi,,100%,100%,Ne,,,0%,0%,,100%,50%,50%,,Ni,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/40069/nefertiti-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,,,1,1,,
Se,Fi,,59%,61%,Te,,,7%,39%,98%,54%,0%,54%,,Ni,,https://api.personality-database.com/profile_images/4336.png,https://www.personality-database.com/profile/4336/nero-historical-figures-antiquity-mbti-personality-type,1,,,13,,1,,1,,2,,3,,20,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/46984/pliny-the-elder-historical-figures-antiquity-mbti-personality-type,,,,,,,1,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/46859/polybius-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,,,,,2,
Si,Te,100%,,,Fi,100%,,0%,33%,,67%,67%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/43496/pompey-historical-figures-antiquity-mbti-personality-type,,,1,,,,2,,,,,,,,,
Fi,Se,88%,100%,,Ni,,,0%,0%,63%,100%,38%,63%,,Te,,https://api.personality-database.com/profile_images/16047.png,https://www.personality-database.com/profile/16047/pontius-pilate-historical-figures-antiquity-mbti-personality-type,,,,,3,4,,,,,,,,1,,
Te,Ni,,,80%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/36934.png,https://www.personality-database.com/profile/36934/qin-shi-huang-historical-figures-antiquity-mbti-personality-type,,,1,,,,,,,,4,,,,,
Ni,Te,67%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/40065/ramesses-ii-historical-figures-antiquity-mbti-personality-type,,,2,,,,,,,,1,,,,,
Ni,Fe,,,,Fe,,,50%,0%,,,0%,50%,,Ni,50%,https://api.personality-database.com/profile_images/48550.png,https://www.personality-database.com/profile/48550/spartacus-slave-historical-figures-antiquity-mbti-personality-type,1,,,,,,,,,,,,,,,1
Ti,Se,,,,Fe,,,0%,10%,90%,90%,10%,80%,100%,Fe,50%,https://api.personality-database.com/profile_images/9351.png,https://www.personality-database.com/profile/9351/tiberius-historical-figures-antiquity-mbti-personality-type,,,,1,,,,4,,,,,,,1,4
Ni,Te,67%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/41821.png,https://www.personality-database.com/profile/41821/vercingetorix-historical-figures-antiquity-mbti-personality-type,,,2,,,,,,,,1,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/46838/xenophon-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,,,,,2,
Fe,Fi,,75%,75%,Te,,,25%,25%,,,25%,25%,,Ni,50%,https://api.personality-database.com/profile_images/42456.png,https://www.personality-database.com/profile/42456/caio-personality-database-mbti-personality-type,,,1,,,,,,,1,,,1,1,,
Ne,Fi,,69%,62%,Te,,69%,46%,23%,77%,,8%,23%,,Si,,https://api.personality-database.com/profile_images/41627.png,https://www.personality-database.com/profile/41627/caio-the-edgelord-personality-database-mbti-personality-type,,,2,1,,1,1,,,6,,,,2,,
Ne,Ti,,,80%,Fe,,80%,20%,60%,80%,,20%,0%,80%,Si,,https://api.personality-database.com/profile_images/42175.png,https://www.personality-database.com/profile/42175/calvinize-personality-database-mbti-personality-type,,1,,,,,,,,,,3,,,1,
Si,Fe,60%,80%,,Ti,80%,,0%,20%,,80%,60%,20%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/48418/celestial-personality-database-mbti-personality-type,,,,,2,1,,,,,1,,1,,,
Ni,Fe,75%,100%,,Ti,75%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/45712.png,https://www.personality-database.com/profile/45712/cherryblossom-personality-database-mbti-personality-type,3,,,,,,,,,1,,,,,,
Ne,Fi,,92%,92%,Te,,100%,92%,8%,92%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/42711.png,https://www.personality-database.com/profile/42711/ciinnamomo-personality-database-mbti-personality-type,,,1,,,,,,,12,,,,,,
Fi,Ne,75%,75%,,Si,,100%,75%,25%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/42147.png,https://www.personality-database.com/profile/42147/cyan-personality-database-mbti-personality-type,,3,,,,,,,,,,1,,,,
Se,Fi,,73%,73%,Te,,,7%,13%,80%,80%,7%,73%,,Ni,,https://api.personality-database.com/profile_images/41875.png,https://www.personality-database.com/profile/41875/di-moruto-personality-database-mbti-personality-type,1,,1,,,,1,1,,,,1,,10,,
Ti,Ne,60%,,,Si,,100%,40%,60%,80%,,0%,0%,60%,Fe,,https://api.personality-database.com/profile_images/46556.png,https://www.personality-database.com/profile/46556/ebd-personality-database-mbti-personality-type,,,,3,,,,,1,1,,,,,,
Fe,Ni,,100%,100%,Se,75%,88%,88%,0%,,,13%,0%,,Ti,,https://api.personality-database.com/profile_images/42128.png,https://www.personality-database.com/profile/42128/evie-anthony-personality-database-mbti-personality-type,,,,,,,,,5,2,,,1,,,
Te,Ni,,,85%,Se,92%,77%,8%,69%,,,15%,8%,85%,Fi,,https://api.personality-database.com/profile_images/42042.png,https://www.personality-database.com/profile/42042/evil-unicorn-personality-database-mbti-personality-type,1,,,,,1,,,,,9,,,,2,
Ti,Ne,86%,,,Si,,86%,3%,83%,97%,,3%,10%,86%,Fe,,https://api.personality-database.com/profile_images/41080.png,https://www.personality-database.com/profile/41080/flandre-scarlet-igarlic-scythe-personality-database-mbti-personality-type,,1,,23,,1,,,,,,1,,2,1,
Se,Fi,,80%,80%,Te,,,0%,0%,80%,100%,20%,80%,,Ni,,https://api.personality-database.com/profile_images/42432.png,https://www.personality-database.com/profile/42432/flatcrate-personality-database-mbti-personality-type,,,,,,,1,,,,,,,4,,
Te,Si,,,84%,Ne,79%,,0%,21%,,79%,58%,21%,84%,Fi,,https://api.personality-database.com/profile_images/41385.png,https://www.personality-database.com/profile/41385/fmcboi-personality-database-mbti-personality-type,,,,,,3,,,,,4,,,,11,1
Ti,Ne,100%,,,Si,,80%,0%,80%,100%,,0%,20%,100%,Fe,,https://api.personality-database.com/profile_images/49080.png,https://www.personality-database.com/profile/49080/fruit-yogurt-personality-database-mbti-personality-type,,,,4,,,,1,,,,,,,,
Fi,Ne,100%,83%,,Si,,94%,78%,17%,94%,,0%,6%,,Te,,https://api.personality-database.com/profile_images/41384.png,https://www.personality-database.com/profile/41384/gabrielalmeidaa892-personality-database-mbti-personality-type,,14,1,2,,1,,,,,,,,,,
Fe,Ni,,,83%,Se,88%,96%,46%,50%,,,4%,0%,,Ti,50%,https://api.personality-database.com/profile_images/42073.png,https://www.personality-database.com/profile/42073/galaxystrider-personality-database-mbti-personality-type,1,,3,,,,,,10,,6,3,1,,,
Fe,Ni,,,,Fi,100%,100%,50%,50%,,,0%,0%,,Se,50%,https://api.personality-database.com/profile_images/47865.png,https://www.personality-database.com/profile/47865/honest-personality-database-mbti-personality-type,,,1,,,,,,1,,,,,,,
Te,Ni,,,80%,Se,100%,80%,20%,60%,,,20%,0%,60%,Fi,,https://api.personality-database.com/profile_images/44748.png,https://www.personality-database.com/profile/44748/honestlyjustasofa-personality-database-mbti-personality-type,,,,,1,,,,1,,3,,,,,
Ne,Fi,,,75%,Te,,,50%,0%,,,50%,0%,,Si,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/49113/i-will-not-vote-personality-database-mbti-personality-type,,,,,,,1,,,2,,,,,1,
Se,Ti,,,74%,Fe,,,0%,0%,100%,100%,0%,100%,96%,Ni,,https://api.personality-database.com/profile_images/42307.png,https://www.personality-database.com/profile/42307/im-gonna-kick-your-little-ass-personality-database-mbti-personality-type,,,,,,1,,5,,,,,,,,17
Se,Fi,,83%,92%,Te,,,8%,17%,92%,75%,0%,75%,,Ni,,https://api.personality-database.com/profile_images/41517.png,https://www.personality-database.com/profile/41517/itsonlydream-personality-database-mbti-personality-type,,,,1,,,,,1,,,1,,9,,
Ne,Ti,,,67%,Fe,,67%,17%,50%,83%,,0%,33%,67%,Si,,https://api.personality-database.com/profile_images/47742.png,https://www.personality-database.com/profile/47742/jade-personality-database-mbti-personality-type,1,,,,,1,,,,,,3,,,,1
Te,Ni,,,67%,Se,100%,67%,0%,67%,,,33%,0%,67%,Fi,,https://api.personality-database.com/profile_images/50094.png,https://www.personality-database.com/profile/50094/jam-personality-database-mbti-personality-type,,,,,1,,,,,,2,,,,,
Ne,Fi,,,,Fi,,,45%,5%,,,45%,5%,,Ne,50%,https://api.personality-database.com/profile_images/42072.png,https://www.personality-database.com/profile/42072/jessica-infp-personality-database-mbti-personality-type,,,,,1,,8,1,1,8,,1,,,,
Ni,Te,78%,,,Fi,78%,100%,22%,78%,,,0%,0%,78%,Se,,https://api.personality-database.com/profile_images/46237.png,https://www.personality-database.com/profile/46237/joxuwia-personality-database-mbti-personality-type,,,7,,,,,,,2,,,,,,
Ni,Te,81%,,,Fi,,81%,6%,75%,,,0%,19%,88%,Se,50%,https://api.personality-database.com/profile_images/42339.png,https://www.personality-database.com/profile/42339/kaiser-personality-database-mbti-personality-type,,,8,4,,,,1,,1,,,,1,,1
Fi,Se,100%,67%,,Ni,,,33%,0%,100%,67%,0%,67%,,Te,,https://api.personality-database.com/profile_images/42851.png,https://www.personality-database.com/profile/42851/kralkhateeb-personality-database-mbti-personality-type,,1,,,,1,,1,,,,,,,,
Fe,Ni,,100%,92%,Se,100%,92%,92%,0%,,,8%,0%,,Ti,,https://api.personality-database.com/profile_images/42465.png,https://www.personality-database.com/profile/42465/lady-of-darkness-personality-database-mbti-personality-type,1,,,,,,,,10,,,,1,,,
Fe,Ni,,100%,67%,Se,78%,89%,89%,0%,,,11%,0%,,Ti,,https://api.personality-database.com/profile_images/42040.png,https://www.personality-database.com/profile/42040/ladymidnight-personality-database-mbti-personality-type,,2,,,1,,,,6,,,,,,,
Ne,Fi,,78%,67%,Te,,67%,67%,0%,67%,,11%,22%,,Si,,https://api.personality-database.com/profile_images/43368.png,https://www.personality-database.com/profile/43368/lala0722-personality-database-mbti-personality-type,,,,,1,,,2,2,4,,,,,,
Ne,Fi,,75%,75%,Te,,75%,75%,0%,100%,,0%,25%,,Si,,https://api.personality-database.com/profile_images/45359.png,https://www.personality-database.com/profile/45359/lana-pavlakovi-personality-database-mbti-personality-type,,,,,,,,1,,3,,,,,,
Fi,Fi,,100%,,Ni,,,50%,0%,100%,,0%,50%,,Si,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/47606/leandro-personality-database-mbti-personality-type,,,,,,1,,,,1,,,,,,
Ti,Ne,56%,,,Si,,78%,22%,56%,89%,,11%,11%,67%,Fe,,https://api.personality-database.com/profile_images/44712.png,https://www.personality-database.com/profile/44712/littlelion-personality-database-mbti-personality-type,,,,5,,,,,,2,,,1,,,1
Te,Si,,,90%,Ne,80%,,0%,30%,,70%,50%,20%,80%,Fi,,https://api.personality-database.com/profile_images/42343.png,https://www.personality-database.com/profile/42343/luminis-personality-database-mbti-personality-type,,,,,,1,,,,,3,,,1,5,
Fe,Ne,57%,57%,,Si,,71%,29%,43%,57%,,14%,14%,,Fe,,https://api.personality-database.com/profile_images/42571.png,https://www.personality-database.com/profile/42571/mbticonfusion-personality-database-mbti-personality-type,,,,3,,1,,,2,,,,1,,,
Ti,Ne,79%,,,Si,,95%,16%,79%,89%,,5%,0%,79%,Fe,,https://api.personality-database.com/profile_images/41379.png,https://www.personality-database.com/profile/41379/mione-personality-database-mbti-personality-type,,,,15,,,,,1,2,,,1,,,
Fi,Ne,67%,95%,,Si,,95%,95%,0%,90%,,5%,0%,,Te,,https://api.personality-database.com/profile_images/39871.png,https://www.personality-database.com/profile/39871/misedaniel-personality-database-mbti-personality-type,,14,,,,,,,1,5,,,,,1,
Fe,Si,67%,,,Fi,83%,,17%,17%,,67%,67%,0%,,Ne,50%,https://api.personality-database.com/profile_images/48676.png,https://www.personality-database.com/profile/48676/moldy-pp-juice-personality-database-mbti-personality-type,1,,,1,,,2,,,,,,2,,,
Ti,Ne,70%,,,Si,,83%,13%,70%,80%,,10%,7%,70%,Fe,,https://api.personality-database.com/profile_images/42321.png,https://www.personality-database.com/profile/42321/myping-taster-personality-database-mbti-personality-type,,1,,17,1,2,,,,3,3,1,2,,,
Ni,Fe,67%,67%,,Ti,67%,100%,67%,33%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/44311.png,https://www.personality-database.com/profile/44311/nathandbyrd221-personality-database-mbti-personality-type,2,,,,,,,,,,,1,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/48716/navv-personality-database-mbti-personality-type,,1,,,,,,,,,,,,,,
Te,Ni,,,69%,Se,92%,85%,0%,85%,,,15%,0%,85%,Fi,,https://api.personality-database.com/profile_images/42852.png,https://www.personality-database.com/profile/42852/nicklizard-personality-database-mbti-personality-type,,,1,1,2,,,,,,9,,,,,
Te,Si,,,95%,Ne,81%,,10%,0%,,90%,81%,10%,81%,Fi,,https://api.personality-database.com/profile_images/41422.png,https://www.personality-database.com/profile/41422/nightshade-personality-database-mbti-personality-type,,,,,,1,,,,2,,,,1,17,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/44800.png,https://www.personality-database.com/profile/44800/nikolai-a-bowman-bowman-fox-personality-database-mbti-personality-type,,,,,,,,,,,,,,1,,
Te,Ni,,,92%,Se,100%,100%,8%,92%,,,0%,0%,92%,Fi,,https://api.personality-database.com/profile_images/42142.png,https://www.personality-database.com/profile/42142/nn2000-personality-database-mbti-personality-type,1,,,,,,,,,,11,,,,,
Fe,Ni,,,100%,Ne,100%,,0%,50%,,,50%,0%,,Fi,50%,https://api.personality-database.com/profile_images/45763.png,https://www.personality-database.com/profile/45763/noctale-personality-database-mbti-personality-type,,,,,,,,,,,1,,1,,,
Te,Ni,,,80%,Se,80%,80%,0%,80%,,,0%,20%,80%,Fi,,https://api.personality-database.com/profile_images/49071.png,https://www.personality-database.com/profile/49071/obersteinism-personality-database-mbti-personality-type,,,,,,1,,,,,4,,,,,
Te,Ni,,,55%,Se,64%,73%,32%,41%,,,14%,14%,55%,Fi,,https://api.personality-database.com/profile_images/40906.png,https://www.personality-database.com/profile/40906/osmond-personality-database-mbti-personality-type,2,7,2,,1,4,4,,2,3,16,,,1,1,1
Ti,Ne,,,,Fe,,,0%,50%,75%,,25%,25%,100%,Fe,50%,https://api.personality-database.com/profile_images/42037.png,https://www.personality-database.com/profile/42037/pale-blue-dot-personality-database-mbti-personality-type,,,,1,,,,1,,,,1,,,1,
Ti,Ne,93%,,,Fi,,57%,7%,50%,,,36%,7%,93%,Fe,50%,https://api.personality-database.com/profile_images/42374.png,https://www.personality-database.com/profile/42374/patriot-personality-database-mbti-personality-type,,,1,6,,,5,1,1,,,,,,,
Si,Te,89%,,,Fi,67%,,44%,0%,,56%,56%,0%,56%,Ne,,https://api.personality-database.com/profile_images/43641.png,https://www.personality-database.com/profile/43641/queen-tiger-personality-database-mbti-personality-type,1,2,,,,,5,,,1,,,,,,
Te,Si,,,100%,Ne,80%,,20%,0%,,80%,80%,0%,80%,Fi,,https://api.personality-database.com/profile_images/49366.png,https://www.personality-database.com/profile/49366/remy-milligan-personality-database-mbti-personality-type,,,,,,,,,,1,,,,,4,
Ne,Ti,,,80%,Fe,,80%,7%,73%,76%,,15%,5%,73%,Si,,https://api.personality-database.com/profile_images/39884.png,https://www.personality-database.com/profile/39884/rhaeys-personality-database-mbti-personality-type,,,,,6,2,,,1,2,3,27,,,,
Te,Ni,,,100%,Se,100%,89%,0%,89%,,,11%,0%,89%,Fi,,https://api.personality-database.com/profile_images/42182.png,https://www.personality-database.com/profile/42182/salome-personality-database-mbti-personality-type,,,,,,,,,,,8,,1,,,
Ne,Ti,,,100%,Fe,,83%,0%,83%,100%,,0%,17%,83%,Si,,https://api.personality-database.com/profile_images/44516.png,https://www.personality-database.com/profile/44516/sanndei-personality-database-mbti-personality-type,,,,,,,,,,,,5,,1,,
Ne,Ti,,,74%,Fe,,84%,0%,84%,84%,,16%,0%,87%,Si,,https://api.personality-database.com/profile_images/41386.png,https://www.personality-database.com/profile/41386/sapien-personality-database-mbti-personality-type,,,,4,4,,,,,,,22,,,1,
Fe,Si,,100%,67%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/44600.png,https://www.personality-database.com/profile/44600/sarahgrizzly43-personality-database-mbti-personality-type,,,,,1,,,,,,,,2,,,
Te,Ni,,,70%,Se,90%,70%,0%,70%,,,20%,10%,90%,Fi,,https://api.personality-database.com/profile_images/40840.png,https://www.personality-database.com/profile/40840/savage-rationalist-personality-database-mbti-personality-type,,,,,,1,2,,,,7,,,,,
Ne,Fi,,92%,92%,Te,,92%,92%,0%,100%,,0%,8%,,Si,,https://api.personality-database.com/profile_images/43833.png,https://www.personality-database.com/profile/43833/sb07-personality-database-mbti-personality-type,,,,,,,,1,,11,,,,,,
Ne,Ti,,,67%,Fe,,67%,0%,67%,67%,,33%,0%,67%,Si,,https://api.personality-database.com/profile_images/43510.png,https://www.personality-database.com/profile/43510/susissimo-personality-database-mbti-personality-type,,,,,2,,,,,,,4,,,,
Fe,Ni,,83%,83%,Se,83%,83%,83%,0%,,,0%,17%,,Ti,,https://api.personality-database.com/profile_images/42041.png,https://www.personality-database.com/profile/42041/t-personality-database-mbti-personality-type,,,,,,,,1,5,,,,,,,
Ni,Te,64%,,,Fi,93%,86%,21%,64%,,,14%,0%,64%,Se,,https://api.personality-database.com/profile_images/42449.png,https://www.personality-database.com/profile/42449/the-truth-personality-database-mbti-personality-type,,1,7,,1,,,,2,,2,,1,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/48999/whipcake-personality-database-mbti-personality-type,,,,,1,,,,,,,,,,,
Te,Ni,,,78%,Se,89%,100%,11%,89%,,,0%,0%,89%,Fi,,https://api.personality-database.com/profile_images/47149.png,https://www.personality-database.com/profile/47149/whisper-personality-database-mbti-personality-type,1,,,1,,,,,,,7,,,,,
Fe,Ni,,,100%,Se,67%,67%,33%,33%,,,0%,33%,67%,Fi,,https://api.personality-database.com/profile_images/42174.png,https://www.personality-database.com/profile/42174/wolfsbane-personality-database-mbti-personality-type,,,,,,,,,1,,1,,,,,1
Ne,Fi,,75%,67%,Te,,71%,63%,8%,71%,,17%,13%,,Si,,https://api.personality-database.com/profile_images/41383.png,https://www.personality-database.com/profile/41383/youarenotinxj-personality-database-mbti-personality-type,1,1,1,,1,1,3,,,13,1,,,1,,1
Se,Fi,,100%,75%,Te,,,0%,0%,75%,100%,25%,75%,,Ni,,https://api.personality-database.com/profile_images/45233.png,https://www.personality-database.com/profile/45233/eu-ruil-personality-database-mbti-personality-type,,,,,1,,,,,,,,,3,,
Se,Fi,,90%,80%,Te,,,0%,10%,80%,90%,10%,80%,,Ni,,https://api.personality-database.com/profile_images/42224.png,https://www.personality-database.com/profile/42224/-personality-database-mbti-personality-type,,,1,,1,,,,,,,,,8,,
Ti,Ne,100%,,,Si,,100%,0%,100%,57%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/25458.png,https://www.personality-database.com/profile/25458/adam-ortiz-somethingelseyt-online-artists-animators-mbti-personality-type,,,3,4,,,,,,,,,,,,
Fi,Se,67%,67%,,Ni,,,0%,33%,67%,67%,0%,67%,,Te,,https://api.personality-database.com/profile_images/33135.png,https://www.personality-database.com/profile/33135/aidyn-snailords-online-artists-animators-mbti-personality-type,,,,,,2,,,,,1,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,67%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/44568.png,https://www.personality-database.com/profile/44568/andrei-terbea-online-artists-animators-mbti-personality-type,,,,,,,,,1,2,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/42294/andrew-hussie-online-artists-animators-mbti-personality-type,,,,,,,,,,,1,,,,,
Ne,Ti,,,100%,Fe,,100%,45%,55%,100%,,0%,0%,55%,Si,,https://api.personality-database.com/profile_images/34041.png,https://www.personality-database.com/profile/34041/andrew-tsyaston-shen-online-artists-animators-mbti-personality-type,,,,,,,,,,5,,6,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/29385.png,https://www.personality-database.com/profile/29385/angela-he-zephyo-online-artists-animators-mbti-personality-type,,,,,,,,,,1,,,,,,
