Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/5623.png,https://www.personality-database.com/profile/5623/wenceslaus-iii-of-bohemia-historical-figures-middle-ages-mbti-personality-type,,,,,,,,1,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/40523.png,https://www.personality-database.com/profile/40523/william-the-conqueror-historical-figures-middle-ages-mbti-personality-type,,,2,,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/40537/wu-zetian-historical-figures-middle-ages-mbti-personality-type,,,2,,,,,,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/39144/yusuf-b-tashfin-historical-figures-middle-ages-mbti-personality-type,,,,,,,1,,,,,,,,,
Ti,Se,100%,,,Ni,,60%,0%,60%,65%,,1%,39%,95%,Fe,,https://api.personality-database.com/profile_images/308.png,https://www.personality-database.com/profile/308/alexander-the-great-historical-figures-antiquity-mbti-personality-type,,,61,47,,9,2,60,,,,,,,,
Te,Ni,,,67%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/40521/ashoka-historical-figures-antiquity-mbti-personality-type,,,1,,,,,,,,2,,,,,
Te,Ni,,,96%,Se,100%,98%,0%,98%,,,2%,0%,100%,Fi,,https://api.personality-database.com/profile_images/9350.png,https://www.personality-database.com/profile/9350/augustus-historical-figures-antiquity-mbti-personality-type,,,2,,,,,,,,43,,,,1,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/44030/bozorgmehr-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,1,,,,,
Ti,Ne,81%,,,Si,,100%,15%,85%,70%,,0%,0%,85%,Fe,,https://api.personality-database.com/profile_images/24828.png,https://www.personality-database.com/profile/24828/caligula-historical-figures-antiquity-mbti-personality-type,1,3,2,16,,,,,,,5,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/39535/caracalla-historical-figures-antiquity-mbti-personality-type,,,,,,,,3,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,33%,,67%,67%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/37058/cato-the-elder-historical-figures-antiquity-mbti-personality-type,,,1,,,,2,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,25%,,75%,25%,50%,100%,Fi,50%,https://api.personality-database.com/profile_images/34508.png,https://www.personality-database.com/profile/34508/cato-the-younger-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,1,,,,1,2
Ni,Te,95%,,,Fi,85%,95%,30%,65%,,,5%,0%,70%,Se,,https://api.personality-database.com/profile_images/20417.png,https://www.personality-database.com/profile/20417/cicero-historical-figures-antiquity-mbti-personality-type,5,,10,3,,,1,,1,,,,,,,
Ni,Fe,100%,,,Ti,91%,93%,50%,43%,,,0%,7%,,Se,50%,https://api.personality-database.com/profile_images/21063.png,https://www.personality-database.com/profile/21063/cleopatra-historical-figures-antiquity-mbti-personality-type,23,,19,1,,,,3,,,,,,,,
Ti,Ne,100%,,,Si,,100%,17%,83%,100%,,0%,0%,83%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/36079/constantine-historical-figures-antiquity-mbti-personality-type,,1,,5,,,,,,,,,,,,
Ni,Te,86%,,,Fi,95%,95%,33%,62%,,,5%,0%,62%,Se,,https://api.personality-database.com/profile_images/772.png,https://www.personality-database.com/profile/772/cyrus-the-great-historical-figures-antiquity-mbti-personality-type,6,1,11,,,,,,,,2,,1,,,
Ni,Ni,,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Fi,50%,https://api.personality-database.com/profile_images/36753.png,https://www.personality-database.com/profile/36753/darius-the-great-historical-figures-antiquity-mbti-personality-type,,,1,,,,,,,,1,,,,,
Ni,Te,100%,,,Fi,67%,67%,0%,67%,,,0%,33%,67%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/42061/dong-zhuo-historical-figures-antiquity-mbti-personality-type,,,2,,,1,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,25%,0%,100%,75%,0%,75%,,Te,,https://api.personality-database.com/profile_images/8819.png,https://www.personality-database.com/profile/8819/elagabalus-historical-figures-antiquity-mbti-personality-type,,2,,,,6,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/36078/hadrian-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,4,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47045/hammurabi-historical-figures-antiquity-mbti-personality-type,,,,,,,,,,,2,,,,,
Si,Se,100%,,,Fi,,,0%,0%,,100%,50%,50%,100%,Fe,50%,https://api.personality-database.com/profile_images/35320.png,https://www.personality-database.com/profile/35320/lucius-tarquinius-superbus-historical-figures-antiquity-mbti-personality-type,,,,,,,1,1,,,,,,,,
