Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ne,Ti,,,100%,Fe,,96%,0%,96%,88%,,4%,0%,100%,Si,,https://api.personality-database.com/profile_images/342.png,https://www.personality-database.com/profile/342/james-madison-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,2,23,,,1,
Fe,Ni,,,93%,Se,84%,97%,47%,50%,,,2%,1%,52%,Ti,,https://api.personality-database.com/profile_images/343.png,https://www.personality-database.com/profile/343/thomas-jefferson-presidents-of-the-usa-mbti-personality-type,,,,7,,,,,45,2,38,6,,1,2,
Te,Ni,,,91%,Se,94%,94%,0%,94%,,,6%,0%,100%,Fi,,https://api.personality-database.com/profile_images/344.png,https://www.personality-database.com/profile/344/john-adams-presidents-of-the-usa-mbti-personality-type,,,1,2,,,,,,,30,,,,2,
Te,Si,,,93%,Ne,99%,,0%,4%,,96%,94%,1%,98%,Fi,,https://api.personality-database.com/profile_images/345.png,https://www.personality-database.com/profile/345/george-washington-presidents-of-the-usa-mbti-personality-type,,,2,,1,,3,,,,2,,,1,81,
Fi,Ne,94%,76%,,Si,,88%,76%,12%,71%,,12%,0%,,Te,,https://api.personality-database.com/profile_images/11646.png,https://www.personality-database.com/profile/11646/muammar-gaddafi-government-africa-mbti-personality-type,1,12,2,,,,1,,,,,,,,1,
Si,Te,67%,,,Fi,94%,,17%,22%,,61%,56%,6%,72%,Ne,,https://api.personality-database.com/profile_images/8025.png,https://www.personality-database.com/profile/8025/abdel-fattah-elsisi-government-africa-mbti-personality-type,,,4,,,,8,,3,,,,1,1,1,
Ni,Se,80%,,,Fi,60%,60%,20%,40%,,,0%,40%,80%,Fe,,https://api.personality-database.com/profile_images/11643.png,https://www.personality-database.com/profile/11643/anwar-elsadat-government-africa-mbti-personality-type,,,2,,,,,2,1,,,,,,,
Se,Ti,,,57%,Fe,,,0%,29%,57%,71%,29%,43%,71%,Ni,,https://api.personality-database.com/profile_images/11644.png,https://www.personality-database.com/profile/11644/hosni-mubarak-government-africa-mbti-personality-type,,,1,,1,,1,,,,,1,,1,,2
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/39923/mohamed-morsi-government-africa-mbti-personality-type,,,,,,,1,,,,,,,,,
Se,Ti,,,67%,Fe,,,33%,0%,67%,67%,0%,67%,67%,Ni,,https://api.personality-database.com/profile_images/30011.png,https://www.personality-database.com/profile/30011/nana-akufo-addo-government-africa-mbti-personality-type,1,,,,,,,,,,,,,,,2
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/36157.png,https://www.personality-database.com/profile/36157/robert-mugabe-government-africa-mbti-personality-type,,,,,,,,,3,,,,,,,
Si,Te,93%,,,Fi,65%,,4%,10%,,87%,57%,30%,93%,Ne,,https://api.personality-database.com/profile_images/2159.png,https://www.personality-database.com/profile/2159/kim-jong-un-governmentasia-mbti-personality-type,,1,5,1,,2,48,21,,2,2,,,1,,1
Si,Fe,71%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/3735.png,https://www.personality-database.com/profile/3735/akihito-governmentasia-mbti-personality-type,,,,,5,,,,,,,,2,,,
Ni,Te,100%,,,Fi,67%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/26278/asif-ali-zardari-governmentasia-mbti-personality-type,,,2,1,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/15651.png,https://www.personality-database.com/profile/15651/aung-san-suu-kyi-governmentasia-mbti-personality-type,,,6,,,,,,,,,,,,,
Fe,Si,,64%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/11645.png,https://www.personality-database.com/profile/11645/bashar-alassad-governmentasia-mbti-personality-type,,,,,,,,,,,,,9,,5,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/28251/basuki-tjahaja-purnama-governmentasia-mbti-personality-type,,,4,,,,,,,,,,,,,
Ni,Te,93%,,,Fi,97%,53%,0%,53%,,,43%,3%,97%,Se,,https://api.personality-database.com/profile_images/12471.png,https://www.personality-database.com/profile/12471/benjamin-netanyahu-governmentasia-mbti-personality-type,,,15,,,1,12,,,,1,,,,1,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/49999/blent-ecevit-governmentasia-mbti-personality-type,,,,,,,,,,1,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/44016.png,https://www.personality-database.com/profile/44016/carrie-lam-governmentasia-mbti-personality-type,,,,,,,1,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,33%,0%,,67%,67%,0%,,Ne,,https://api.personality-database.com/profile_images/48946.png,https://www.personality-database.com/profile/48946/ekrem-mamolu-governmentasia-mbti-personality-type,1,,,,2,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/49437.png,https://www.personality-database.com/profile/49437/goh-chok-tong-governmentasia-mbti-personality-type,,,,,,,,,,,,,,,1,
Se,Fi,,100%,100%,Te,,,33%,0%,67%,67%,0%,67%,,Ni,,https://api.personality-database.com/profile_images/28548.png,https://www.personality-database.com/profile/28548/hamid-karzai-governmentasia-mbti-personality-type,,,,,,,,,1,,,,,2,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/49418.png,https://www.personality-database.com/profile/49418/imelda-marcos-governmentasia-mbti-personality-type,,,1,,,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/28522/imran-khan-governmentasia-mbti-personality-type,1,,,,,,,,,,,,,,,
Ni,Fe,80%,100%,,Ti,100%,60%,60%,0%,,,40%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/25631/jusuf-kalla-governmentasia-mbti-personality-type,2,,,,2,,,,1,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/41812/kim-jongil-governmentasia-mbti-personality-type,,,,,,,,,,,,,1,,,
Ti,Se,80%,,,Ni,,,0%,0%,60%,100%,40%,60%,80%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/22845/king-salman-governmentasia-mbti-personality-type,,,,,,,1,3,,,,,1,,,
Ne,Ni,,,100%,Fe,,100%,0%,100%,,,0%,0%,100%,Fi,50%,https://api.personality-database.com/profile_images/49453.png,https://www.personality-database.com/profile/49453/ko-wenje-governmentasia-mbti-personality-type,,,,,,,,,,,1,1,,,,
Si,Fe,100%,75%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/37654.png,https://www.personality-database.com/profile/37654/lee-hsien-loong-governmentasia-mbti-personality-type,,,,,3,,1,,,,,,,,,
Te,Ni,,,67%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/38366.png,https://www.personality-database.com/profile/38366/lee-kuan-yew-governmentasia-mbti-personality-type,,,1,,,,,,,,2,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/25105/liu-banglegend-of-chu-and-han-governmentasia-mbti-personality-type,,1,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/49431.png,https://www.personality-database.com/profile/49431/low-thia-khiang-governmentasia-mbti-personality-type,,,,1,,,,,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/28240/maruf-amin-governmentasia-mbti-personality-type,,,,,,,,,,,,,2,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/49754.png,https://www.personality-database.com/profile/49754/mahathir-mohamad-governmentasia-mbti-personality-type,,,1,,,,,,,,,,,,,
Fe,Fe,,100%,,Se,100%,100%,100%,0%,,,0%,0%,,Se,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/28928/mohammad-mosaddegh-governmentasia-mbti-personality-type,2,,,,,,,,2,,,,,,,
Te,Ni,,,100%,Se,60%,60%,10%,50%,,,10%,30%,,Fi,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/28927/mohammadreza-pahlavi-governmentasia-mbti-personality-type,,,,,,,,,,1,5,,1,3,,
Ti,Se,100%,,,Ni,,,0%,0%,80%,100%,20%,80%,87%,Fe,,https://api.personality-database.com/profile_images/24453.png,https://www.personality-database.com/profile/24453/mohammed-bin-salman-governmentasia-mbti-personality-type,,,,,2,,1,12,,,,,,,,
Te,Ni,,,100%,Se,100%,91%,18%,73%,,,9%,0%,73%,Fi,,https://api.personality-database.com/profile_images/16286.png,https://www.personality-database.com/profile/16286/moon-jaein-governmentasia-mbti-personality-type,,,,,,,,,2,,8,,1,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/26279/muhammad-ali-jinnah-governmentasia-mbti-personality-type,,,,,,,,,,,2,,,,,
Te,Ni,,,73%,Se,80%,73%,0%,73%,,,7%,20%,93%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/8821/narendra-modi-governmentasia-mbti-personality-type,,,3,,1,,,,,,8,,,,,3
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/25538/nursultan-nazarbayev-governmentasia-mbti-personality-type,,,,,,,2,,,,,,,,,
Fe,Ti,,,100%,Fe,,,33%,17%,,,17%,33%,,Ti,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/5095/park-geun-hye-governmentasia-mbti-personality-type,,,,,,,,,2,,,1,1,,,2
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/28249/prabowo-subianto-governmentasia-mbti-personality-type,,,,,,,3,,,,,,,,,
Si,Te,67%,,,Fi,96%,,2%,0%,,98%,93%,4%,96%,Ne,,https://api.personality-database.com/profile_images/7523.png,https://www.personality-database.com/profile/7523/recep-tayyip-erdoan-governmentasia-mbti-personality-type,,,,,1,,27,2,1,,,,,,14,
Ne,Ti,,,100%,Fe,,100%,0%,100%,60%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/30038/reza-pahlavi-junior-governmentasia-mbti-personality-type,,,,,,,,,,,2,3,,,,
Ti,Se,100%,,,Ni,,,0%,14%,90%,86%,10%,76%,90%,Fe,,https://api.personality-database.com/profile_images/5396.png,https://www.personality-database.com/profile/5396/rodrigo-duterte-governmentasia-mbti-personality-type,,,,3,,2,2,14,,,,,,,,
Fe,Ni,,77%,91%,Se,91%,83%,69%,14%,,,11%,6%,,Ti,,https://api.personality-database.com/profile_images/2708.png,https://www.personality-database.com/profile/2708/ruhollah-khomeini-eastern-leaders-mbti-personality-type,,,,,,,1,2,23,1,5,,3,,,
Ti,Ne,83%,,,Si,,100%,0%,100%,67%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/28250/sandiaga-uno-governmentasia-mbti-personality-type,,,2,3,,,,,,,,1,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/49753.png,https://www.personality-database.com/profile/49753/sheikh-mujibur-rahman-governmentasia-mbti-personality-type,,,,,,,,1,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/49440.png,https://www.personality-database.com/profile/49440/tan-cheng-bock-governmentasia-mbti-personality-type,,,,,,,,,,,1,,,,,
Te,Se,,,,Ne,,,0%,0%,,100%,50%,50%,100%,Fe,50%,https://api.personality-database.com/profile_images/38443.png,https://www.personality-database.com/profile/38443/tan-chuan-jin-governmentasia-mbti-personality-type,,,,,,,,1,,,,,,,1,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/49452.png,https://www.personality-database.com/profile/49452/teo-chee-hean-governmentasia-mbti-personality-type,,,,,,,,,,,,,1,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/49448.png,https://www.personality-database.com/profile/49448/tharman-shanmugaratnam-governmentasia-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Ni,,,97%,Se,97%,,0%,48%,,52%,48%,3%,100%,Fi,,https://api.personality-database.com/profile_images/8820.png,https://www.personality-database.com/profile/8820/xi-jinping-governmentasia-mbti-personality-type,,,,,,,1,,,,15,,,,14,1
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/46864/yau-waiching-governmentasia-mbti-personality-type,,,1,,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/21190.png,https://www.personality-database.com/profile/21190/zaman-ali-governmentasia-mbti-personality-type,,,2,,,,,,,,,,,,,
Se,Ti,,,98%,Fe,,,1%,45%,,55%,6%,49%,99%,Fi,50%,https://api.personality-database.com/profile_images/2153.png,https://www.personality-database.com/profile/2153/vladimir-putin-governmenteurope-mbti-personality-type,1,1,2,1,1,,2,2,,1,231,3,2,,25,256
Ti,Ne,92%,,,Si,,58%,17%,42%,100%,,0%,42%,83%,Fe,,https://api.personality-database.com/profile_images/19754.png,https://www.personality-database.com/profile/19754/albert-rivera-governmenteurope-mbti-personality-type,,2,,5,,,,4,,,,,,,,1
Ni,Te,100%,,,Fi,100%,78%,0%,78%,,,22%,0%,100%,Se,,https://api.personality-database.com/profile_images/9262.png,https://www.personality-database.com/profile/9262/andrej-babis-governmenteurope-mbti-personality-type,,,7,,,,2,,,,,,,,,
Si,Te,75%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/32575.png,https://www.personality-database.com/profile/32575/andrzej-duda-governmenteurope-mbti-personality-type,,,,,,,3,,,,,,,,1,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/42051.png,https://www.personality-database.com/profile/42051/ann-widdecombe-governmenteurope-mbti-personality-type,,,,,,,1,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/35787.png,https://www.personality-database.com/profile/35787/anne-marie-waters-governmenteurope-mbti-personality-type,,,,,,,,,,,1,,,,,
Si,Te,83%,,,Fi,83%,,17%,17%,,67%,67%,0%,83%,Ne,,https://api.personality-database.com/profile_images/27025.png,https://www.personality-database.com/profile/27025/annie-lf-governmenteurope-mbti-personality-type,,,1,,,,4,,,1,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/49877.png,https://www.personality-database.com/profile/49877/bohuslav-sobotka-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,2,
Ti,Se,100%,,,Ni,,,0%,27%,100%,73%,0%,73%,100%,Fe,,https://api.personality-database.com/profile_images/3133.png,https://www.personality-database.com/profile/3133/david-cameron-governmenteurope-mbti-personality-type,,,,3,,,,8,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/35472.png,https://www.personality-database.com/profile/35472/david-lammy-governmenteurope-mbti-personality-type,,1,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/40177.png,https://www.personality-database.com/profile/40177/dennis-skinner-governmenteurope-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/32574.png,https://www.personality-database.com/profile/32574/donald-tusk-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,1,
Si,Te,100%,,,Fi,60%,,20%,20%,,60%,60%,0%,80%,Ne,,https://api.personality-database.com/profile_images/26544.png,https://www.personality-database.com/profile/26544/ebba-busch-thor-governmenteurope-mbti-personality-type,,1,,1,,,3,,,,,,,,,
Fe,Si,,80%,100%,Ne,80%,,20%,20%,,60%,60%,0%,,Ti,,https://api.personality-database.com/profile_images/30685.png,https://www.personality-database.com/profile/30685/ed-miliband-governmenteurope-mbti-personality-type,,,,,,,,,1,,,1,3,,,
Ni,Te,77%,,,Fi,85%,96%,5%,90%,,,4%,0%,93%,Se,,https://api.personality-database.com/profile_images/6230.png,https://www.personality-database.com/profile/6230/emmanuel-macron-governmenteurope-mbti-personality-type,2,2,45,6,1,,,,,,12,3,,,2,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/49997.png,https://www.personality-database.com/profile/49997/enda-kenny-governmenteurope-mbti-personality-type,,,,,1,,,,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/38179/erna-solberg-governmenteurope-mbti-personality-type,,,,,,,1,,,,,,,,,
Fi,Ne,55%,73%,,Si,,64%,36%,27%,91%,,9%,27%,,Te,,https://api.personality-database.com/profile_images/6340.png,https://www.personality-database.com/profile/6340/franois-hollande-governmenteurope-mbti-personality-type,,4,,,,2,,,,,,3,1,1,,
