Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ti,Se,97%,,,Ni,,,2%,12%,83%,86%,6%,80%,93%,Fe,,https://api.personality-database.com/profile_images/449.png,https://www.personality-database.com/profile/449/donald-trump-presidents-of-the-usa-mbti-personality-type,1,3,60,8,3,31,35,475,2,6,5,2,1,,2,1
Ti,Ne,91%,,,Si,,96%,46%,50%,51%,,3%,1%,52%,Fe,,https://api.personality-database.com/profile_images/70.png,https://www.personality-database.com/profile/70/barack-obama-presidents-of-the-usa-mbti-personality-type,200,10,13,222,5,2,7,1,16,4,2,16,3,1,2,1
Si,Te,95%,,,Fi,62%,,1%,1%,,98%,60%,38%,76%,Ne,,https://api.personality-database.com/profile_images/71.png,https://www.personality-database.com/profile/71/george-w-bush-presidents-of-the-usa-mbti-personality-type,,,1,,15,9,45,32,1,,,,1,,3,
Fi,Se,100%,96%,,Ni,,,16%,1%,87%,82%,10%,72%,,Te,,https://api.personality-database.com/profile_images/72.png,https://www.personality-database.com/profile/72/bill-clinton-presidents-of-the-usa-mbti-personality-type,2,11,,1,7,56,1,1,,,,,,,,
Te,Si,,,96%,Ne,98%,,0%,0%,,100%,98%,2%,71%,Fi,,https://api.personality-database.com/profile_images/73.png,https://www.personality-database.com/profile/73/george-h-w-bush-presidents-of-the-usa-mbti-personality-type,,,,,1,1,,,,,,,11,,32,
Fe,Ni,,97%,100%,Se,91%,56%,53%,3%,,,44%,0%,,Ti,,https://api.personality-database.com/profile_images/75.png,https://www.personality-database.com/profile/75/jimmy-carter-presidents-of-the-usa-mbti-personality-type,,,,,,,,,29,5,1,1,28,,,
Si,Fe,89%,89%,,Ti,89%,,0%,5%,,95%,89%,5%,,Ne,,https://api.personality-database.com/profile_images/76.png,https://www.personality-database.com/profile/76/gerald-ford-presidents-of-the-usa-mbti-personality-type,,,,,16,1,,,,,,1,,,1,
Te,Si,,,95%,Ne,98%,,0%,20%,,80%,78%,2%,100%,Fi,,https://api.personality-database.com/profile_images/77.png,https://www.personality-database.com/profile/77/richard-nixon-presidents-of-the-usa-mbti-personality-type,,,1,,,,,1,,,7,,,,32,
Si,Te,100%,,,Fi,82%,,0%,12%,,88%,71%,18%,100%,Ne,,https://api.personality-database.com/profile_images/311.png,https://www.personality-database.com/profile/311/lyndon-b-johnson-presidents-of-the-usa-mbti-personality-type,,,4,,,,24,6,,,,,,,,
Fi,Se,80%,,,Ni,,55%,14%,40%,78%,,1%,44%,53%,Te,,https://api.personality-database.com/profile_images/312.png,https://www.personality-database.com/profile/312/john-f-kennedy-presidents-of-the-usa-mbti-personality-type,3,9,1,21,1,31,,12,,2,16,1,,,,
Te,Si,,,94%,Ne,97%,,0%,35%,,65%,65%,0%,100%,Fi,,https://api.personality-database.com/profile_images/313.png,https://www.personality-database.com/profile/313/dwight-d-eisenhower-presidents-of-the-usa-mbti-personality-type,,,2,,,,,,,,9,1,,,22,
Si,Te,87%,,,Fi,100%,,0%,20%,,80%,80%,0%,93%,Ne,,https://api.personality-database.com/profile_images/314.png,https://www.personality-database.com/profile/314/harry-s-truman-presidents-of-the-usa-mbti-personality-type,,,6,,2,,18,,,,,,,,4,
Ni,Te,98%,,,Fi,67%,86%,0%,86%,,,2%,12%,100%,Se,,https://api.personality-database.com/profile_images/315.png,https://www.personality-database.com/profile/315/franklin-d-roosevelt-presidents-of-the-usa-mbti-personality-type,,,43,14,,,1,7,,,,,,,,1
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/316.png,https://www.personality-database.com/profile/316/herbert-hoover-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,,,,,16,
Te,Si,,,100%,Ne,96%,,0%,13%,,87%,83%,4%,100%,Fi,,https://api.personality-database.com/profile_images/317.png,https://www.personality-database.com/profile/317/calvin-coolidge-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,3,,,,19,1
Se,Fi,,60%,67%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/318.png,https://www.personality-database.com/profile/318/warren-g-harding-presidents-of-the-usa-mbti-personality-type,,,,,,1,,4,,,,,,8,,2
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/323.png,https://www.personality-database.com/profile/323/grover-cleveland-presidents-of-the-usa-mbti-personality-type,,,,,,,14,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/324.png,https://www.personality-database.com/profile/324/benjamin-harrison-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,,,,,11,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/325.png,https://www.personality-database.com/profile/325/chester-a-arthur-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,,,,11,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/326.png,https://www.personality-database.com/profile/326/james-a-garfield-presidents-of-the-usa-mbti-personality-type,,,,15,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/327.png,https://www.personality-database.com/profile/327/rutherford-b-hayes-presidents-of-the-usa-mbti-personality-type,,,,14,,,,,,,,,,,,
Se,Fi,,82%,100%,Te,,,0%,6%,88%,94%,6%,88%,,Ni,,https://api.personality-database.com/profile_images/328.png,https://www.personality-database.com/profile/328/ulysses-s-grant-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,1,,,14,1,1
Se,Ti,,,93%,Fe,,,0%,13%,87%,87%,0%,87%,100%,Ni,,https://api.personality-database.com/profile_images/329.png,https://www.personality-database.com/profile/329/andrew-johnson-presidents-of-the-usa-mbti-personality-type,,,1,,,,,,,,1,,,,,13
Ne,Ti,,,95%,Fe,,98%,6%,92%,94%,,1%,2%,94%,Si,,https://api.personality-database.com/profile_images/330.png,https://www.personality-database.com/profile/330/abraham-lincoln-presidents-of-the-usa-mbti-personality-type,1,,1,4,,,,,2,4,3,107,,1,1,1
Ti,Se,93%,,,Ni,,,0%,0%,100%,100%,0%,100%,93%,Fe,,https://api.personality-database.com/profile_images/331.png,https://www.personality-database.com/profile/331/james-buchanan-presidents-of-the-usa-mbti-personality-type,,,,,,,,13,,,,,,1,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/332.png,https://www.personality-database.com/profile/332/franklin-pierce-presidents-of-the-usa-mbti-personality-type,,,,,11,,,,,,,,,,,
Se,Fi,,92%,92%,Te,,,0%,8%,92%,92%,0%,92%,,Ni,,https://api.personality-database.com/profile_images/333.png,https://www.personality-database.com/profile/333/millard-fillmore-presidents-of-the-usa-mbti-personality-type,,,1,,,,,,,,,,,11,,
Te,Si,,,100%,Ne,73%,,0%,0%,,100%,73%,27%,100%,Fi,,https://api.personality-database.com/profile_images/334.png,https://www.personality-database.com/profile/334/zachary-taylor-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,,,,,11,4
Te,Ni,,,94%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/335.png,https://www.personality-database.com/profile/335/james-k-polk-presidents-of-the-usa-mbti-personality-type,,,1,,,,,,,,15,,,,,
Ne,Ti,,,100%,Fe,,92%,0%,92%,92%,,0%,8%,100%,Si,,https://api.personality-database.com/profile_images/336.png,https://www.personality-database.com/profile/336/john-tyler-presidents-of-the-usa-mbti-personality-type,,,,,,,,,,,1,11,,,,1
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/337.png,https://www.personality-database.com/profile/337/william-henry-harrison-presidents-of-the-usa-mbti-personality-type,,,,,,,11,,,,,,,,,
Se,Fi,,92%,100%,Te,,,31%,8%,62%,62%,0%,62%,,Ni,,https://api.personality-database.com/profile_images/338.png,https://www.personality-database.com/profile/338/martin-van-buren-presidents-of-the-usa-mbti-personality-type,,,,,,,,,4,,1,,,8,,
Ti,Se,100%,,,Ni,,,0%,3%,89%,97%,8%,89%,97%,Fe,,https://api.personality-database.com/profile_images/339.png,https://www.personality-database.com/profile/339/andrew-jackson-presidents-of-the-usa-mbti-personality-type,,,1,,,1,3,31,,,,,,,,
Ti,Ne,55%,,,Si,,100%,0%,100%,95%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/340.png,https://www.personality-database.com/profile/340/john-quincy-adams-presidents-of-the-usa-mbti-personality-type,,,,12,,,,,,,1,9,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,69%,Ne,,https://api.personality-database.com/profile_images/341.png,https://www.personality-database.com/profile/341/james-monroe-presidents-of-the-usa-mbti-personality-type,,,,,5,,11,,,,,,,,,
