Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ne,Ne,,,,Fe,,100%,0%,100%,100%,,0%,0%,100%,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/43381/felipe-castanhari-canal-nostalgia-online-scientists-educators-mbti-personality-type,,,,1,,,,,,,,1,,,,
Fi,Fe,100%,100%,,Si,,,50%,0%,,,50%,0%,,Ne,50%,https://api.personality-database.com/profile_images/33395.png,https://www.personality-database.com/profile/33395/gregory-brown-asapscience-online-scientists-educators-mbti-personality-type,,1,,,1,,,,,,,,,,,
Fi,Ne,93%,55%,,Si,,97%,55%,41%,97%,,3%,0%,,Te,,https://api.personality-database.com/profile_images/6131.png,https://www.personality-database.com/profile/6131/hank-green-online-scientists-educators-mbti-personality-type,,16,,11,,,,,,,,1,,,1,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/15493.png,https://www.personality-database.com/profile/15493/kyle-hill-because-science-online-scientists-educators-mbti-personality-type,,,,3,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/36199/mark-rober-online-scientists-educators-mbti-personality-type,,,,2,,,,,,,,,,,,
Ni,Se,100%,,,Fi,,,0%,50%,,,0%,50%,100%,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/39615/matt-dillahunty-online-scientists-educators-mbti-personality-type,,,1,,,,,1,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/4734.png,https://www.personality-database.com/profile/4734/matt-parker-online-scientists-educators-mbti-personality-type,,,,4,,,,,,,,,,,,
Fi,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,,Fe,50%,https://api.personality-database.com/profile_images/37401.png,https://www.personality-database.com/profile/37401/mehdi-sadaghdar-electroboom-online-scientists-educators-mbti-personality-type,,,,,,1,,1,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/38971.png,https://www.personality-database.com/profile/38971/mirosaw-zelent-pasja-informatyki-online-scientists-educators-mbti-personality-type,,,,,,,,,,,1,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/33396.png,https://www.personality-database.com/profile/33396/mitchell-moffit-asapscience-online-scientists-educators-mbti-personality-type,,4,,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,67%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/32785.png,https://www.personality-database.com/profile/32785/nilered-online-scientists-educators-mbti-personality-type,,,,,,,,,,,1,2,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/32786.png,https://www.personality-database.com/profile/32786/nurdrage-online-scientists-educators-mbti-personality-type,,,,,,,,,,,1,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/37396.png,https://www.personality-database.com/profile/37396/patch-tierzoo-online-scientists-educators-mbti-personality-type,,,,,,,,,,,,3,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/17530.png,https://www.personality-database.com/profile/17530/paul-barbato-geography-now-online-scientists-educators-mbti-personality-type,,,,6,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/36450.png,https://www.personality-database.com/profile/36450/paulina-mikua-mwic-inaczej-online-scientists-educators-mbti-personality-type,,1,,,,,,,,,,,,,,
Ne,Ne,,,,Fe,,100%,0%,100%,100%,,0%,0%,100%,Fe,50%,https://api.personality-database.com/profile_images/30067.png,https://www.personality-database.com/profile/30067/philip-moriarty-sixty-symbols-numberphile-online-scientists-educators-mbti-personality-type,,,,1,,,,,,,,1,,,,
Ne,Ti,,,73%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/23634.png,https://www.personality-database.com/profile/23634/sam-onella-online-scientists-educators-mbti-personality-type,,,,3,,,,,,,,8,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/30218.png,https://www.personality-database.com/profile/30218/simon-whistler-today-i-found-out-biographics-online-scientists-educators-mbti-personality-type,,,,,,,,,2,,,,,,,
Se,Ni,,,100%,Fe,,,0%,50%,,,0%,50%,100%,Fi,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/39430/stephen-woodford-online-scientists-educators-mbti-personality-type,,,,,,,,,,,1,,,,,1
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/39726.png,https://www.personality-database.com/profile/39726/toby-hendy-tibees-online-scientists-educators-mbti-personality-type,,,,3,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/33186.png,https://www.personality-database.com/profile/33186/tony-padilla-sixty-symbols-numberphile-online-scientists-educators-mbti-personality-type,,,,,,,,,,,,3,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/37400.png,https://www.personality-database.com/profile/37400/tyler-dewitt-online-scientists-educators-mbti-personality-type,2,,,,,,,,,,,,,,,
Ne,Fi,,89%,100%,Te,,100%,89%,11%,78%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/6132.png,https://www.personality-database.com/profile/6132/vi-hart-online-scientists-educators-mbti-personality-type,,,,,,,,,2,6,,1,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/40964.png,https://www.personality-database.com/profile/40964/william-osman-online-scientists-educators-mbti-personality-type,,,,2,,,,,,,,,,,,
Ne,Ti,,,80%,Fe,,100%,0%,100%,80%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/21701.png,https://www.personality-database.com/profile/21701/aaron-bionicpig-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,1,3,,,,
Te,Si,,,100%,Ne,100%,,0%,33%,,67%,67%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/38684/abitofbritt-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,2,
Ni,Te,88%,,,Fi,94%,94%,0%,94%,,,6%,0%,100%,Se,,https://api.personality-database.com/profile_images/16934.png,https://www.personality-database.com/profile/16934/adam-buckley-adoseofbuckley-online-social-cultural-political-commentators-mbti-personality-type,,,13,1,,,1,,,,2,,,,,
Ne,Fi,,100%,100%,Te,,,50%,0%,100%,,0%,50%,,Ni,50%,https://api.personality-database.com/profile_images/30245.png,https://www.personality-database.com/profile/30245/ajey-nagar-carryminati-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,1,,,,1,,
Te,Ni,,,98%,Se,80%,91%,4%,87%,,,7%,2%,96%,Fi,,https://api.personality-database.com/profile_images/16924.png,https://www.personality-database.com/profile/16924/alex-horton-i-hate-everything-online-social-cultural-political-commentators-mbti-personality-type,,,1,,,,,,1,1,31,7,,,3,1
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/33874.png,https://www.personality-database.com/profile/33874/alex-j-oconnor-cosmicskeptic-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,10,,,,,
Fi,Ne,100%,,,Si,,100%,50%,50%,100%,,0%,0%,,Fe,50%,https://api.personality-database.com/profile_images/34919.png,https://www.personality-database.com/profile/34919/amber-alee-frost-online-social-cultural-political-commentators-mbti-personality-type,,1,,1,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/30951.png,https://www.personality-database.com/profile/30951/andrew-huggbees-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
Fi,Se,100%,80%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/28882.png,https://www.personality-database.com/profile/28882/andy-warski-online-social-cultural-political-commentators-mbti-personality-type,,,,,,4,,1,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,25%,,75%,75%,0%,100%,Fi,,https://api.personality-database.com/profile_images/31028.png,https://www.personality-database.com/profile/31028/angelika-oles-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,3,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/47582/angelo-john-gage-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,1,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/30639.png,https://www.personality-database.com/profile/30639/anthony-birdman-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,1,,,,,,,,
Te,Ni,,,75%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/39614/aron-ra-online-social-cultural-political-commentators-mbti-personality-type,,,1,,,,,,,,3,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47571/arthur-arcturus-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/43197/arthur-james-mcdaniel-thegamerfrommars-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,1,
Si,Se,100%,,,Fi,,,0%,0%,,100%,50%,50%,100%,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/46687/ashton-whitty-ashtonbirdie-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,1,1,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/46953/avishek-saha-yogioabs-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,67%,Fe,,https://api.personality-database.com/profile_images/13578.png,https://www.personality-database.com/profile/13578/bart-kwan-justkiddingfilms-online-vloggers-mbti-personality-type,,,,,,1,,2,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47328/bigcatkayla-livestreams-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Ti,Te,98%,,,Fi,51%,,2%,47%,,51%,8%,43%,98%,Fe,,https://api.personality-database.com/profile_images/10152.png,https://www.personality-database.com/profile/10152/blaire-white-online-social-cultural-political-commentators-mbti-personality-type,,,21,3,,,4,22,1,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/40220/blithering-genius-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/47322/brit-girl-online-social-cultural-political-commentators-mbti-personality-type,,,,,1,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/24173.png,https://www.personality-database.com/profile/24173/caio-coppolla-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Se,Ti,,,82%,Fe,,,0%,18%,94%,82%,3%,79%,97%,Ni,,https://api.personality-database.com/profile_images/10301.png,https://www.personality-database.com/profile/10301/calvin-vail-leafyishere-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,4,,,1,3,,1,1,21
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/50530/casey-davidson-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,1,,,,,,,
Se,Ti,,,97%,Fe,,,14%,28%,94%,58%,3%,56%,86%,Ni,,https://api.personality-database.com/profile_images/28467.png,https://www.personality-database.com/profile/28467/charlie-penguinz0-cr1tikal-online-social-cultural-political-commentators-mbti-personality-type,,1,,,,,,,,4,1,9,,,1,20
Se,Se,67%,,,Fe,,,0%,0%,67%,100%,33%,67%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/45282/chris-delamo-red-pill-philosophy-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,1,1,,,,,,,,1
Ne,Ti,,,57%,Fe,,93%,0%,93%,100%,,0%,7%,100%,Si,,https://api.personality-database.com/profile_images/17339.png,https://www.personality-database.com/profile/17339/chris-ray-gun-online-social-cultural-political-commentators-mbti-personality-type,,,,6,,,,,,,,7,,,,1
Fe,Ni,,67%,67%,Se,67%,100%,67%,33%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/40284/colin-robertson-millennial-woes-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,2,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47572/colttaine-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,2,,,,,
Fe,Ni,,88%,100%,Se,81%,81%,69%,13%,,,19%,0%,,Ti,,https://api.personality-database.com/profile_images/28883.png,https://www.personality-database.com/profile/28883/daniel-sulzbach-repzion-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,9,2,1,1,3,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/29240.png,https://www.personality-database.com/profile/29240/darryl-sloan-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/38265/dave-cullen-computing-forever-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/45640/dick-masterson-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,1,,,,,,,,
Si,Ni,,,,Fi,100%,,0%,50%,,,50%,0%,100%,Fi,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/45280/dr-william-luther-pierce-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,1,,,,1,,,,,
Ne,Fi,,73%,73%,Te,,100%,73%,27%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/21554.png,https://www.personality-database.com/profile/21554/drew-gooden-online-social-cultural-political-commentators-mbti-personality-type,,2,,2,,,,,,9,,2,,,,
Ti,Se,100%,,,Ni,,,0%,31%,54%,69%,15%,54%,100%,Fe,,https://api.personality-database.com/profile_images/27170.png,https://www.personality-database.com/profile/27170/dusty-smith-cult-of-dusty-online-social-cultural-political-commentators-mbti-personality-type,,,4,,,,2,7,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/22754/eddy-burback-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/25521.png,https://www.personality-database.com/profile/25521/edwin-costa-edwins-generation-online-social-cultural-political-commentators-mbti-personality-type,4,,,,,,,,,,,,,,,
Se,Si,,,100%,Fe,,,0%,0%,,100%,50%,50%,100%,Fi,50%,https://api.personality-database.com/profile_images/29631.png,https://www.personality-database.com/profile/29631/efe-aydal-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,2,2
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/50299/elisabeth-elisabeths-philosophy-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,1,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/38332/ella-grant-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Ti,,,60%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/21700.png,https://www.personality-database.com/profile/21700/elvis-horton-elvis-the-alien-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,,,,,3,,,,
Ti,Ne,99%,,,Si,,90%,31%,59%,89%,,0%,10%,68%,Fe,,https://api.personality-database.com/profile_images/21489.png,https://www.personality-database.com/profile/21489/ethan-klein-h3h3productions-online-social-cultural-political-commentators-mbti-personality-type,,21,7,35,,1,,6,1,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/48240/evalion-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/34917.png,https://www.personality-database.com/profile/34917/felix-biederman-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,,,,,,,,,
Ti,Ne,86%,,,Si,,86%,0%,86%,100%,,0%,14%,86%,Fe,,https://api.personality-database.com/profile_images/34245.png,https://www.personality-database.com/profile/34245/george-andrew-memeulous-online-social-cultural-political-commentators-mbti-personality-type,,,,5,,1,,,,,,1,,,,
Ti,Ne,75%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/27687.png,https://www.personality-database.com/profile/27687/george-ouzounian-maddox-online-social-cultural-political-commentators-mbti-personality-type,,,,3,,,,,,,,1,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47315/georgia-free-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,1,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/40282/grace-kay-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ne,Ti,56%,,,Fe,,89%,0%,89%,78%,,11%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/34808/gregory-fluhrer-armouredskeptic-online-social-cultural-political-commentators-mbti-personality-type,,,1,3,,,1,,,,,4,,,,
Se,Fi,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,,Ni,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/32090/guilherme-marques-eguinorante-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,1,,1
Ne,Ne,,,,Fe,,100%,0%,100%,100%,,0%,0%,100%,Fe,50%,https://api.personality-database.com/profile_images/40083.png,https://www.personality-database.com/profile/40083/harris-brewis-hbomberguy-online-social-cultural-political-commentators-mbti-personality-type,,,,3,,,,,,,,3,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47487/heather-mac-donald-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,1,
Te,Si,,,100%,Ne,61%,,4%,11%,,86%,54%,32%,64%,Fi,,https://api.personality-database.com/profile_images/21490.png,https://www.personality-database.com/profile/21490/hila-klein-h3h3productions-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,1,2,1,1,8,14,1
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/34048/hugo-hugo-and-jake-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
Si,Te,97%,,,Fi,81%,,3%,31%,,66%,66%,0%,97%,Ne,,https://api.personality-database.com/profile_images/7102.png,https://www.personality-database.com/profile/7102/hunter-avallone-online-social-cultural-political-commentators-mbti-personality-type,,,5,5,,,21,,,1,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/31205/inabber-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/21633.png,https://www.personality-database.com/profile/21633/jack-dean-jaackmaate-online-social-cultural-political-commentators-mbti-personality-type,,,,5,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/23350.png,https://www.personality-database.com/profile/23350/jack-douglass-jacksfilms-online-social-cultural-political-commentators-mbti-personality-type,,,,20,,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/47021/jack-obrien-online-social-cultural-political-commentators-mbti-personality-type,1,,,,,,,,,,,,,,,
Ni,Fe,100%,72%,,Ti,94%,94%,72%,22%,,,0%,6%,,Se,,https://api.personality-database.com/profile_images/10464.png,https://www.personality-database.com/profile/10464/jaclyn-glenn-online-social-cultural-political-commentators-mbti-personality-type,13,,4,,,,,1,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/34049/jake-hugo-and-jake-online-social-cultural-political-commentators-mbti-personality-type,,1,,,,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/39960.png,https://www.personality-database.com/profile/39960/jakub-chupty-gargamelvlog-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Fi,Ne,100%,100%,,Si,,67%,67%,0%,67%,,33%,0%,,Te,,https://api.personality-database.com/profile_images/22769.png,https://www.personality-database.com/profile/22769/james-marriott-online-social-cultural-political-commentators-mbti-personality-type,,2,,,1,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/48243/janet-bloomfield-judgybitch-online-social-cultural-political-commentators-mbti-personality-type,,,,,1,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/48237/jared-george-the-great-order-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Te,Ni,,,100%,Se,100%,67%,0%,67%,,,33%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/32628/jeanfrancois-jf-gariepy-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,2,,,,1,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/43961/jeremy-hambly-the-quartering-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,1,,,,,,,,
Ne,Ti,,,67%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/18681.png,https://www.personality-database.com/profile/18681/jj-mccullough-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,,,,,4,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/13583.png,https://www.personality-database.com/profile/13583/joe-jitsukawa-online-vloggers-mbti-personality-type,,1,,,,,,,,,,,,,,
Ti,Ne,100%,,,Ni,,,0%,50%,100%,,0%,50%,100%,Fe,50%,https://api.personality-database.com/profile_images/12563.png,https://www.personality-database.com/profile/12563/joe-santagato-online-social-cultural-political-commentators-mbti-personality-type,,,,3,,,,3,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/10302.png,https://www.personality-database.com/profile/10302/john-scarce-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,5,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/33455.png,https://www.personality-database.com/profile/33455/julia-tolezano-jout-jout-online-social-cultural-political-commentators-mbti-personality-type,,3,,,,,,,,,,,,,,
Se,Fi,,83%,83%,Te,,,23%,17%,100%,60%,0%,60%,,Ni,,https://api.personality-database.com/profile_images/14809.png,https://www.personality-database.com/profile/14809/june-lapine-shoe0nhead-online-social-cultural-political-commentators-mbti-personality-type,,1,,4,,,,,,6,,1,,18,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/49917/justin-little-vernaculis-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,1,,,,,,
Fi,Ne,100%,,,Si,,85%,38%,46%,62%,,0%,15%,54%,Te,,https://api.personality-database.com/profile_images/21704.png,https://www.personality-database.com/profile/21704/kalvin-garrah-online-social-cultural-political-commentators-mbti-personality-type,,5,5,1,,1,,1,,,,,,,,
Se,Si,,,100%,Fe,,,0%,0%,,100%,50%,50%,100%,Fi,50%,https://api.personality-database.com/profile_images/30952.png,https://www.personality-database.com/profile/30952/kaya-orsan-the-official-podcast-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,1,1
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/41439/knowing-better-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,2,,,,
Ni,Te,82%,,,Fi,82%,88%,0%,88%,,,0%,12%,88%,Se,,https://api.personality-database.com/profile_images/15661.png,https://www.personality-database.com/profile/15661/kyle-kulinski-secular-talk-online-social-cultural-political-commentators-mbti-personality-type,,,11,1,,2,,,,,3,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47477/lacey-lynn-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,1,,,
Te,Si,,,100%,Ne,100%,,33%,0%,,67%,67%,0%,67%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/45790/lindsay-shepherd-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,1,,,,,,2,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/39708.png,https://www.personality-database.com/profile/39708/maciej-frczyk-niekryty-krytyk-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
