Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/49419.png,https://www.personality-database.com/profile/49419/leo-hwan-online-niche-content-mbti-personality-type,,,,,,,,,1,,,,,,,
Ti,Ne,100%,,,Si,,92%,0%,92%,69%,,8%,0%,100%,Fe,,https://api.personality-database.com/profile_images/27079.png,https://www.personality-database.com/profile/27079/linus-sebastian-linus-tech-tips-online-niche-content-mbti-personality-type,,,3,9,,,1,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/36918.png,https://www.personality-database.com/profile/36918/lloyd-lindybeige-online-niche-content-mbti-personality-type,,,,3,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/35742/lockpickinglawyer-online-niche-content-mbti-personality-type,,,,,,,,,,,,,,,1,
Ne,Ti,,,86%,Fe,,57%,0%,57%,86%,,14%,29%,100%,Si,,https://api.personality-database.com/profile_images/27071.png,https://www.personality-database.com/profile/27071/marques-brownlee-mkbhd-online-niche-content-mbti-personality-type,,,,1,,,,,,,,3,,,1,2
Fi,Ne,100%,,,Si,,100%,50%,50%,100%,,0%,0%,,Fe,50%,https://api.personality-database.com/profile_images/18883.png,https://www.personality-database.com/profile/18883/matt-crawford-tekking101-online-niche-content-mbti-personality-type,,1,,1,,,,,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/49103.png,https://www.personality-database.com/profile/49103/mikannn-online-niche-content-mbti-personality-type,,,,,,,,,,,,,1,,,
Ni,Fe,100%,100%,,Ti,100%,86%,86%,0%,,,14%,0%,,Se,,https://api.personality-database.com/profile_images/28342.png,https://www.personality-database.com/profile/28342/mikhail-varshavski-doctor-mike-online-niche-content-mbti-personality-type,6,,,,1,,,,,,,,,,,
Fi,Ne,91%,91%,,Si,,64%,64%,0%,100%,,0%,36%,,Te,,https://api.personality-database.com/profile_images/10466.png,https://www.personality-database.com/profile/10466/nathaniel-coyote-peterson-online-niche-content-mbti-personality-type,,7,,,,2,,1,,,,,,1,,
Se,Ti,,,75%,Fe,,,25%,0%,75%,75%,0%,75%,75%,Ni,,https://api.personality-database.com/profile_images/15315.png,https://www.personality-database.com/profile/15315/taras-kulakov-crazyrussianhacker-online-niche-content-mbti-personality-type,2,,,,,,,,,,,,,,,6
Ne,Ti,,,100%,Fe,,85%,0%,85%,54%,,8%,8%,100%,Fi,,https://api.personality-database.com/profile_images/32091.png,https://www.personality-database.com/profile/32091/vitor-santos-metaforando-online-niche-content-mbti-personality-type,,,,,,,,,,,5,6,,,1,1
Te,Ni,,,100%,Se,93%,71%,0%,71%,,,29%,0%,100%,Fi,,https://api.personality-database.com/profile_images/47000.png,https://www.personality-database.com/profile/47000/alex-intj-and-infp-coffee-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,9,1,,,4,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/35542.png,https://www.personality-database.com/profile/35542/ben-vaserlan-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,1,,,,
Se,Fi,,67%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,/images/profile_transparent.png,https://www.personality-database.com/profile/37392/charles-benson-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,,,2,,1
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/43635.png,https://www.personality-database.com/profile/43635/coach-red-pill-online-psychology-personal-development-mbti-personality-type,,,1,,,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/35473.png,https://www.personality-database.com/profile/35473/corey-wayne-online-psychology-personal-development-mbti-personality-type,,,,,,1,,,,,,,,,,
Ni,Te,100%,,,Fi,90%,90%,0%,90%,,,0%,10%,100%,Se,,https://api.personality-database.com/profile_images/34067.png,https://www.personality-database.com/profile/34067/damon-grey-online-psychology-personal-development-mbti-personality-type,,,9,,,,,1,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/41429/danielle-durland-interpersonality-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,1,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/48768/dr-charlie-wallace-pastor-personality-online-psychology-personal-development-mbti-personality-type,,,,,,,1,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/41428/dr-mike-boudria-nfgeeks-online-psychology-personal-development-mbti-personality-type,,3,,,,,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/3539.png,https://www.personality-database.com/profile/3539/ejarendee-online-psychology-personal-development-mbti-personality-type,,,,,,,,16,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/41952.png,https://www.personality-database.com/profile/41952/elisha-long-online-psychology-personal-development-mbti-personality-type,,,,,,,,1,,,,,,,,
Fe,Ni,,80%,90%,Se,80%,80%,70%,10%,,,10%,10%,,Ti,,https://api.personality-database.com/profile_images/37393.png,https://www.personality-database.com/profile/37393/emily-elizabeth-barnes-pucokie-online-psychology-personal-development-mbti-personality-type,,,,,1,,,,7,,,1,,,,1
Fe,Ni,,100%,88%,Se,88%,88%,88%,0%,,,13%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/39219/erik-thor-online-psychology-personal-development-mbti-personality-type,1,,,,,,,,5,1,,,1,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/49911/ethan-brains-journey-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,1,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47313/evan-tttekev-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,,1,,,
Fi,Ne,100%,,,Fi,,,50%,0%,,,50%,0%,,Ne,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/40288/evelyn-cashsantos-objectively-typed-online-psychology-personal-development-mbti-personality-type,,1,,,,,1,,,,,,,,,
