Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/18525.png,https://www.personality-database.com/profile/18525/greg-maddox-baseball-mbti-personality-type,,,1,,,,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/23258.png,https://www.personality-database.com/profile/23258/jackie-robinson-baseball-mbti-personality-type,,,,,,,,,,,,,,,,3
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,75%,Fe,,https://api.personality-database.com/profile_images/18528.png,https://www.personality-database.com/profile/18528/manny-machado-baseball-mbti-personality-type,,,,,,1,,3,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/5368.png,https://www.personality-database.com/profile/5368/mike-trout-baseball-mbti-personality-type,,,,,,,,,,,,,,,5,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/18526.png,https://www.personality-database.com/profile/18526/pedro-martinez-baseball-mbti-personality-type,,,,,,5,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/36830/ral-gonzlez-baseball-mbti-personality-type,,,,,,,,,,1,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,https://www.personality-database.com/profile/10145/thurman-munson-baseball-mbti-personality-type,,,,,,,,,,,,,,,,1
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/25299/trevor-bauer-baseball-mbti-personality-type,,,,,,,,,,,,2,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/10139.png,https://www.personality-database.com/profile/10139/ty-cobb-baseball-mbti-personality-type,,,,,,,,8,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/10142.png,https://www.personality-database.com/profile/10142/willie-mays-baseball-mbti-personality-type,,,,,,,,,,,,,,,,5
